case,cores,question,move,proxy_change_pct,official_time_change_pct,added_spill_bytes
case_093,2,3,migrate_s0_to1,1.4809865820388568,-0.5955660501115068,0
case_093,2,3,split_s2_cut137_to1,42.35596879659014,45.95041322314049,0
case_093,2,3,swap_s0_s1,0.0,0.0236127508854711,0
case_093,5,1,migrate_s0_to3,0.0,1.0272759475735027,0
case_093,5,1,split_s2_cut56_to4,27.05880929624833,31.68024560160585,0
case_093,5,1,swap_s2_s6,0.0,0.0,0
case_093,5,2,migrate_s0_to3,-0.15533792065629548,1.0136166575074768,0
case_093,5,2,split_s2_cut56_to3,26.832198638366034,36.001709714844,0
case_093,5,2,swap_s2_s6,0.0,0.0,0
case_093,5,3,migrate_s0_to3,-0.15655385819646206,0.36350194073069275,0
case_093,5,3,split_s2_cut56_to3,27.042232849402524,35.278171400406634,0
case_093,5,3,swap_s2_s6,0.0,-0.21563674450125747,0
