case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error,speedup
case_020,4,ok,133704,0,2359296,0,ecdb20624ab0060d46c2c85f4c87cd9cbd121f607d4900b5fb4365313c1089ab,1.0632608000014443,,3.984518039849219
case_020,5,ok,107650,0,2359296,0,e7becef51f5bdcb7e86664b3eef600e7d40c2d4bcdaa6e90e581c1041c049385,1.0149420999950962,,4.948871342313051
case_021,2,ok,3194570,3174400,6512640,1638400,0be340177f5f377cda896c89d88ea19d382086cf445d118d8bf680cbd14818b8,0.8651178000000073,,2.0559690349561914
case_021,3,ok,2155304,8882176,12220416,4761600,fa9360b89cac9243bfb6fd590725755ea46cb3f4b1b674a8cbba36c53fa50dae,0.822371700007352,,3.047336709809846
case_021,4,ok,1550324,4608000,7946240,0,3627b28e033f646e3523347cf3f03bca7a72f6a4003d5f00658deba474e54697,0.7036645999905886,,4.236493145948847
case_021,5,ok,1250168,11431936,14770176,2011136,d120d190005cf3010e5b717421fa4196509d94c730201d723ed9518ae7bc3158,1.0033686999959173,,5.253643510312214
case_022,2,ok,28333,6912,220598,0,938f91a13ad4294df69d4a77208d378486f6d956c35624695c0958491de8e2bf,0.18512460000056308,,2.004023576747962
case_022,3,ok,19128,13824,227510,0,6b13adac102401ca8df5321eefbb61e01717af509bb2f9a3217cd5c068df1333,0.16874549999192823,,2.968423253868674
case_022,4,ok,14654,13824,227510,0,62dcd751b46882bf8775ee44cd1adcbc000fb8a90bd458be79721838065fdbc0,0.16344000000390224,,3.874709976798144
case_022,5,ok,11828,20736,234422,0,0607e249cf936a9dc341e62b189d8fa06e3f0646a76e6814bc0edcc4d8ababdb,0.15628569999535102,,4.800473452823808
case_023,2,ok,61227,84384,527828,0,be2d312414dd0f9f0211e4aa78f68c5671bb0a1d79b69b36d82d677423ab1557,0.13122379999549594,,2.0026132261910594
case_023,3,ok,41662,196896,640340,0,4797038431414b70fa2643e5e9cbed83898f8d62b37a6fb7bdd284fa4541ca01,0.12127230000623967,,2.943065623349815
case_023,4,ok,31519,281280,724724,0,ec0cc7fd76769afeb024df148e9f2f492c8acf9e36b4da45f11e911ad0fe3720,0.13525369999115355,,3.890161489894984
case_023,5,ok,25191,280992,724436,0,87fe7e47b1da5f384331823dae640a2845e310bfcb7fa803ac0e99121fb4acc5,0.11316019999503624,,4.867373268230717
case_024,2,ok,1583353,39720044,40113262,39716816,64fc075547b1a99e382da7bd33fe044a267b3ebf94e172f1c09680bcb581bf21,2.0425983000022825,,1.6138807960069548
case_024,3,ok,955894,1608,394826,0,79a5d28e1278fe56c3f43426dd16a90ffcfc3ac32ff029f6263181301bb9c459,1.1830486999970162,,2.6732493351773314
case_024,4,ok,796719,5644,398862,0,57c61603fe9c0a7585f1eafc57721caf645f24d9318163945252b6bc422a6a95,1.5752662000013515,,3.2073328237433776
case_024,5,ok,795102,6448,399666,0,2a8e612f993aefeb82336305f36ba0c450bb1b563cb58b4017eb6307cb82c866,1.6719508999958634,,3.2138555807934077
case_025,2,ok,2431840,27648,8245248,0,a5fff6afbed8a85e01d1e635bb90448e13b96d5582558e42512d972ca9c86e9a,8.605941499990877,,1.9997310678334101
case_025,3,ok,1622164,55296,8272896,0,49bb0fcd9b932f015165169092971b4e0dda3d3ca24621db4c814a276c7b2749,7.253400600005989,,2.9978633479722148
case_025,4,ok,1217444,82944,8300544,0,8e00701890b2bf8478c92622d4a978ba4b15c8e9bdaa7149dc3aedde24377bb9,6.67478289999417,,3.9944555971362954
case_025,5,ok,975282,110592,8328192,0,3863b182c24ce4f308900690c0c83e40425641ccc478f12574bce2d3ece14536,6.249593000000459,,4.986276789687495
case_026,2,ok,58112,288,529142,0,34354539ba516f2c32d64461fcc96374d844aecd54d6c407aa56ecd91e9e3539,0.08246360000339337,,1.707100082599119
case_026,3,ok,41655,95664,624518,0,09f8af6b4ddfd7d37a1f3ebb7e83e9e544ac3960aeec12d1b61f00608d4a6994,0.09135030000470579,,2.3815388308726444
case_026,4,ok,42226,170832,699686,0,b4ba6597efc19017d0b02e4931e6f3812815b90d62722a35ecba1377982dbfc5,0.08125020000443328,,2.3493345332259743
case_026,5,ok,44114,211680,740534,0,694c6a66d7bd505d9ca81992871424e4134c66b1d27fc21a43dce28e398d45b4,0.07624800001212861,,2.2487872330779344
case_027,2,ok,1120962,1744896,3784704,638976,b4ca0d0c14a0533772084d009d82673e0db302a1eef0ee9437646c1b22ee65b8,0.2517329999973299,,2.10886006840553
case_027,3,ok,837049,3686400,5726208,0,7a03d731469a3e35058bca0e7b2d522b1cd7d435cb366312978bb95462187889,0.2854799000051571,,2.8241500796249683
case_027,4,ok,559196,3317760,5357568,0,62cd079b9653ca2fdbcaff4c339044ce050a8d1d84641ecd8bea5e5f0712a440,0.25617910000437405,,4.227412213249022
case_027,5,ok,558753,5529600,7569408,0,2347557edea8cf5ea4afb5b03523bd30ca73924f876cab0187f28922319c55ce,0.2945783000031952,,4.230763861670542
case_028,2,ok,20602291,41688192,47596800,39447552,9873e36ef6341949d537fcfef8d68725b6c39d73735eff208bea0af0b5e6c3dd,11.198029699997278,,2.1277264746915767
case_028,3,ok,13582878,27152640,33061248,22855680,82a7a62b7357ef6a42d7062b7e64a88ea17cbafe3573c70f91f6de4210b4c012,8.909057900003972,,3.227301312726213
case_028,4,ok,10343971,23009664,28918272,16564224,1df4d81dc75a7f00e7cda9d42118d1148bc0793cc78816993127bda6b1e8ae7e,7.481378199998289,,4.237834773512029
