case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_012,3,2,component_scalar,component_scalar,30249,59088,1.953386888822771,1.0,0.08829809998860583,5e99458fe4631b3123959a6471e5c9760c7656fca90dc8dba3fc107427f57186
case_012,3,2,trained,component_vector_reuse_order,28591,59088,2.0666643349305724,1.0,0.0885415000084322,520704b85e9d7a633b7013bba834f0a7d1aed35fbe9ff03e138b7035ee03fd20
case_050,3,2,component_scalar,component_scalar,108121,149690,1.3844674022622803,1.0,0.40077169999131,8625d9ce5c470447cff1659bfcfcf4a212b1bd72ca0ace373bad65e355d42b76
case_050,3,2,trained,valley_stage,83954,149690,1.7830002144031256,1.0,0.3912655000021914,f7af5c172ba0f206cf5d4c7099b6a5cea9ce816102d6e6e715fd17d758762dfd
case_065,3,2,component_scalar,component_scalar,27107,53068,1.9577230973549267,1.0,0.06105879999813624,b170319fb6bd0f94a1aec38231b43c0de515137aab4af83fd7b98f48baf8770a
case_065,3,2,trained,shared_prefix,26386,53068,2.0112180701887366,1.0,0.059577400010311976,a02067a72168d153a76f2d444751f31a8e1e99d2a541994ad1007a400aa26d5c
case_080,3,2,component_scalar,component_scalar,145674,292138,2.005423067946236,1.0017298900284197,0.10810760001186281,c2d6c312c3326143eeae6b87a406f22b3e6f759f9876a02c3b1bc8885e6ab9dc
case_080,3,2,trained,component_affinity_reuse_order,145991,292138,2.0010685590207618,1.0,0.10394990000349935,847bad231e8794a02755fde97058afcef6d6d12d2bcdd75c25810d018a15659c
case_002,3,3,component_scalar,component_scalar,261945,261945,1.0,1.0,0.12942139999358915,9ee016a042d1cbe8fff75c8fd15a44e8768a6ed8eaf878163d0be310697003e9
case_002,3,3,trained,mask_band,89495,261945,2.9269232918040116,1.0,0.1307807999983197,2dfeb432c881414b6da0fb78523e8b9f2ee50334fc05d7f31d781c06dbe12103
case_005,3,3,component_scalar,component_scalar,95618,95618,1.0,1.0,0.35197069999412633,1cd0ce072d765a551e3c75a1d4c4cdcb25f7dcffedc1d36c405ce5cb98f8405b
case_005,3,3,trained,valley_stage,37696,95618,2.5365556027164686,1.018649193548387,0.3573806000058539,2e0a852e6dc7d86d60201033a5f985dfc39ffb1d03660aef39d93b08c41b5cc2
case_012,3,3,component_scalar,component_scalar,20018,59088,2.951743430912179,1.0,0.11240039998665452,a5af6bf412930aacf15ee2b6c8456dc9f6479763e53b2c37e9bacf750df2b621
case_012,3,3,trained,component_scalar,20018,59088,2.951743430912179,1.0,0.11717990000033751,a5af6bf412930aacf15ee2b6c8456dc9f6479763e53b2c37e9bacf750df2b621
