case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,wall_seconds,stop_reason,selected
case_030,3,2808034,933969,931978,3.012983139086974,0.21317624032489713,6956464,3054592,524288,202,24,28,0,138.16717860000063,evaluation_budget,move_s4_c0
case_030,4,2808034,699591,697988,4.023040510725113,0.22913387965254328,8628232,3373056,524288,132,24,33,0,110.53221649999978,evaluation_budget,chain_s3_r2613_d10_c1
case_030,5,2808034,561192,560330,5.011393286099263,0.1536016194101153,7835504,1629184,524288,244,24,55,0,135.99806639999952,evaluation_budget,chain_s0_r738_d7_c1
case_031,2,1414369,735345,712326,1.9855641939224455,3.1303673785774033,5850082,3548064,524288,118050,24,18,0,78.71007230000032,evaluation_budget,eft_placement
case_031,3,1414369,486363,484719,2.917915328262354,0.33801913385681503,4003202,1046780,524288,131072,24,11,0,59.4230424999987,evaluation_budget,band_w8_k3
case_031,4,1414369,398198,364830,3.876789189485514,8.379750777251516,8618112,2817216,524288,117732,24,27,0,82.4284086000007,evaluation_budget,chain_s12_r3624_d53_c3
case_031,5,1414369,308135,294518,4.802317685166951,4.419166923588691,8696372,1413600,524288,60612,24,12,0,54.26418770000237,evaluation_budget,valley_w1_k5
case_032,2,41443,21880,19129,2.1665011239479326,12.573126142595981,171912,0,53248,60636,24,31,0,5.079268800000136,evaluation_budget,chain_s2_r271_d15_c1
case_032,3,41443,15402,14396,2.878785773826063,6.531619270224642,295180,0,53248,43018,24,37,0,5.452221699997608,evaluation_budget,move_s9_c2
case_032,4,41443,14274,13014,3.1844936222529583,8.827238335435062,238928,0,53248,40960,24,15,0,5.215798799999902,evaluation_budget,chain_s2_r144_d3_c3
case_032,5,41443,10415,10415,3.9791646663466156,0.0,12360,0,40960,36876,24,21,0,2.9988669000013033,evaluation_budget,base_w0_k5
case_033,2,1774196,897883,896750,1.97847337608029,0.12618570570999132,6059060,3827712,523776,105480,24,7,0,29.56519130000015,evaluation_budget,split_s9_d30_c1
case_033,3,1774196,604202,592284,2.9955156647824355,1.9725191243987972,6873682,2958336,523776,81936,24,16,0,33.399408200002654,evaluation_budget,chain_s2_r8126_d3_c1
