case,variant,cores,status,makespan_cycles,original_copy_bytes,scheduled_copy_bytes,added_copy_bytes,cache_hit_rate,cache_hit_bytes,wall_seconds,error
case_022,q3,4,ok,14654,213686,227510,13824,0.060801182245210326,13824,0.288,
case_022,q3,5,ok,11828,213686,234422,20736,0.08851098704092608,20736,0.286,
case_022,singlecore,1,ok,56780,213686,213686,0,,,0.561,
case_023,q1,2,ok,61227,443444,527828,84384,,,0.304,
case_023,q1,3,ok,41662,443444,640340,196896,,,0.297,
case_023,q1,4,ok,31519,443444,724724,281280,,,0.379,
case_023,q1,5,ok,25191,443444,724436,280992,,,0.406,
case_023,q2,1,ok,122614,443444,443444,0,,,0.19,
case_023,q2,2,ok,61227,443444,527828,84384,,,0.182,
case_023,q2,3,ok,41662,443444,640340,196896,,,0.171,
case_023,q2,4,ok,31519,443444,724724,281280,,,0.172,
case_023,q2,5,ok,25191,443444,724436,280992,,,0.2,
case_023,q3,1,ok,122614,443444,443444,0,0.0,0,0.224,
case_023,q3,2,ok,61227,443444,527828,84384,0.1627445005457989,84384,0.21,
case_023,q3,3,ok,41662,443444,640340,196896,0.3120291338757373,196896,0.223,
case_023,q3,4,ok,31519,443444,724724,281280,0.39317754213714806,281280,0.215,
case_023,q3,5,ok,25191,443444,724436,280992,0.32420005761319176,231840,0.234,
case_023,singlecore,1,ok,122614,443444,443444,0,,,0.366,
case_024,q1,2,ok,2555343,393218,393218,0,,,8.137,
case_024,q1,3,ok,2555343,393218,393218,0,,,8.149,
case_024,q1,4,ok,2555343,393218,393218,0,,,8.176,
case_024,q1,5,ok,2555343,393218,393218,0,,,8.123,
case_024,q2,1,ok,2555343,393218,393218,0,,,1.977,
case_024,q2,2,ok,2555343,393218,393218,0,,,2.013,
case_024,q2,3,ok,2555343,393218,393218,0,,,2.046,
case_024,q2,4,ok,2555343,393218,393218,0,,,2.081,
case_024,q2,5,ok,2555343,393218,393218,0,,,2.165,
case_024,q3,1,ok,2555343,393218,393218,0,0.0,0,2.133,
case_024,q3,2,ok,2555343,393218,393218,0,0.0,0,2.056,
case_024,q3,3,ok,2555343,393218,393218,0,0.0,0,1.941,
case_024,q3,4,ok,2555343,393218,393218,0,0.0,0,2.084,
case_024,q3,5,ok,2555343,393218,393218,0,0.0,0,1.991,
case_024,singlecore,1,ok,2555343,393218,393218,0,,,8.281,
case_025,q1,2,ok,2431840,8217600,8245248,27648,,,162.37,
case_025,q1,3,ok,1622164,8217600,8272896,55296,,,90.488,
