case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error,l2_speedup,no_l2_speedup,q2_cycles,vs_q2_gain
case_073,5,ok,3243126,2316337,95853568,95853568,0.7088277541240201,70428672,28930688,1.400109742235262,2.0162930000001325,1d1772bae56b2d6452255cbac4b370728ccc05031f8e3f7cac7a1ccde87d5d9e,,4.3524003631595924,3.108613726386209,3224273.0,1.3919705984060178
case_074,5,ok,335626,333481,7770112,7770112,0.26676070838913596,3080192,8466456,1.006432150557303,1.5730800000001182,745d7f838fc73fb39ce0194c4677d67832860226729a92e20d22882cfb7e5966,,5.044482294343606,5.0122427940624386,407970.0,1.223368047954756
case_075,5,ok,369499,365050,6786072,6786072,0.5434347203397736,3367190,2828936,1.0121873715929324,3.932824999999866,b8dd6eb6a01ad22dea7c4c66bc1da679238f348f6fe938ebc8e340691c431ed7,,3.9496205999178193,3.902064687590494,369499.0,1.0121873715929324
case_076,5,ok,1237109,1234163,17932288,17932288,0.45343849453438495,10066944,12134400,1.002387042878453,22.254065800000262,910f6cf28a40e5101c5f1f0654edfbf46773cc4c7ef6ee7f8480bc9afffa93ff,,5.011585179591351,4.9996507987574255,1238120.0,1.00320622154448
case_077,5,ok,121081,121081,172032,172032,0.0,0,2313292,1.0,1.4291437000001679,4b5f3f8d483bc722783a6e95e26fdd9237bca50296070645508ea4428505a112,,4.090815239385205,4.090815239385205,121081.0,1.0
case_078,5,ok,543260,543260,8593920,8593920,0.10508395026743651,1139184,9701520,1.0,0.32694569999966916,c2ad422660026bf7bbcfc5776fd83ce7680e94ff1ad88d04c7ab6ade546e3e4b,,4.226600522769944,4.226600522769944,528099.0,0.9720925523690314
case_079,5,ok,6263209,6260737,64759808,64759808,0.21749803948310545,13064192,47001600,1.0003948416935577,15.554226899999776,5f268a06e4bf8cc5dc5d36a8a6515388921e5ade457d6ce5ce966d3208005ebf,,4.959839552436079,4.957881973921037,6075976.0,0.9704889376442422
case_080,5,ok,117286,73651,5013504,5013504,0.4262899262899263,2842624,3825664,1.5924563142387749,0.6528370999999424,a197906aeb3a5dd86b14f2382cc7a86acc76b4f4b4ee99e60cd18741148a2792,,3.966517766221776,2.4908173183500164,113455.0,1.5404407272134797
case_081,5,ok,30943,30943,0,0,0.0,0,1044820,1.0,1.4518740999997135,ae26e110b0e9d64eef0fc2c50bf20ec8d20f3c1e5fb6ea87c3845f9f42fa4215,,4.905632937982743,4.905632937982743,30943.0,1.0
case_082,5,ok,187739,187306,2829592,2829592,0.5301861455941522,1265812,1121674,1.0023117251983384,1.6927288000001681,2b79a56e8dcf36f94be82411fc38ebce69cf2dc28e2cec132788ae895df757e3,,3.849534985531697,3.840656443253666,187739.0,1.0023117251983384
case_083,5,ok,197034,196519,3721600,3721600,0.1894710751348566,929536,3976416,1.0026206117474645,1.1892071000002034,7bc8dee7e3372db6b1ac1ef6a582f78d0e8848584634df682eb17e36318e880a,,5.38366773696182,5.369596110315986,197034.0,1.0026206117474645
case_084,5,ok,375094,375094,8681472,8681472,0.0,0,14268522,1.0,6.0919896000000335,ab8bd5fc3d1b0963b4742defec2e0a1a5117169f5da6a5e2703547efc379ad69,,6.6847563544071615,6.6847563544071615,503472.0,1.3422555412776531
case_085,5,ok,746292,744845,10855448,10855448,0.5254370581022013,4350870,3929608,1.001942686062201,12.041506200000185,a8e93b023e6d97f3119b454dabb3f879196b59721c4a090de056f54691f17e96,,4.27994951969873,4.271651042755383,746292.0,1.001942686062201
case_086,5,ok,40905,36951,1898328,1898328,0.5382102091908176,837144,718278,1.1070065762766907,2.042376400000194,47d94f9ff8923d4e71b6da05d8e8cae904691f3a6d32d70d03e8a010bc7bfe24,,3.2043246461530135,2.894585014056961,42073.0,1.1386160049795675
case_087,5,ok,885740,852871,25908378,25908378,0.5069576856598562,14296226,13903812,1.0385392398146964,19.910643400000026,8588e627d5dd658cbd83f985e37e2c6a8d20a5ad53477a146153b6321d973cd6,,4.659639030990618,4.486724095106916,888504.0,1.0417800581799592
case_088,5,ok,86863,75845,2220472,2220472,0.35416680662765676,1265234,2307190,1.145269958467928,1.2531593999997312,828c99e849863ab9b9450f1a1659785d6c94d1bbb380ca6b3620e17fa424c455,,3.2121168171929595,2.804680934344888,86863.0,1.145269958467928
case_089,5,ok,133604,133604,954880,954880,0.0,0,1357440,1.0,1.5679144000000633,3ac28abd0f96c8b48e87415b16b93aa3063c90b3527b48ca226a3cc17c670a89,,5.187659052124188,5.187659052124188,147432.0,1.1034998952127182
case_090,5,ok,261420,203403,8593920,8593920,0.49140371808112826,5298480,5483856,1.2852317812421645,0.4719662000002245,8f8301a591902ceb531a0670b0aeacda8e98e8592f7df637b2067b8425fbf5d6,,5.7932429708509705,4.507547241986076,285660.0,1.404404064836802
case_091,5,ok,1855564,1850709,32660992,32660992,0.1412748510893986,5537504,33659168,1.00262331895506,19.804735600000186,ca75aa66d8a086979d8f6019180746f6178c31497c296c300f03ef7825993b2b,,4.963918692782063,4.9509308221112285,1876536.0,1.0139551923073806
case_092,5,ok,827524,827834,4688256,4688256,0.20151297305810567,1269248,5029344,0.9996255287895882,9.105660600000192,3a1d8ae97abee815d8117edff0d646c0ddddd7aa61ccab43ad73899756fe0bd0,,5.817052694139163,5.819231828925807,819820.0,0.990319315225033
case_093,5,ok,15876,15876,32768,32768,0.0,0,606208,1.0,0.20123689999991257,6d46bd5288ce6ae2cce27e74567a3e03b7ec6a87982c05048af6750615d14098,,4.674036281179139,4.674036281179139,15876.0,1.0
case_094,5,ok,25114,25114,259200,259200,0.25388759910639974,185472,545056,1.0,0.2004308000000492,d35e5c67697f3945cbc8a946c6a61fb2908b420ab79e8ca86701c92e6f65f66e,,3.778450266783467,3.778450266783467,25530.0,1.016564466034881
case_095,5,ok,420852,420852,0,0,0.0,0,8516508,1.0,1.7664064000000508,23bc2a91e21be76a82a97af2665dea4c52e73e94e9b8e706d538df9e694f270c,,4.953886401870491,4.953886401870491,420852.0,1.0
case_096,5,ok,27053,27053,134784,134784,0.07011279720847197,24192,320852,1.0,0.2982744000000821,0021270dff33825143fca4bb712e51f6e8ac0ebefb0a792f84b0b59be6804202,,3.112187188112224,3.112187188112224,27053.0,1.0
case_097,5,ok,2127942,2121402,19083264,19083264,0.2685558869977189,6268928,17074176,1.0030828668965146,3.715939000000162,556e60ea7c3c4e26324df15d75a53204c95f883a90fb728ff5bc8b7af69aecda,,5.416940777844086,5.400292395187463,2102348.0,0.9910182039990535
case_098,5,ok,66750,61577,2165060,2165060,0.15488091485050887,315406,1721036,1.084008639589457,0.5813136000001577,b69dc861b43f6f7759d7a16de54c06098141e486beb851e71328432143e3008f,,2.881433002582133,2.65812734082397,70962.0,1.1524108027347872
case_099,5,ok,328708,328634,7618560,7618560,0.48697581763623066,4943872,5208320,1.0002251745102455,2.52909980000004,e5169f8f919c77bdd75816d4976b8559bf6757fb9df6b8730f9f49aafd0ca2fe,,4.938621688565395,4.937509887194714,337221.0,1.0261293718848323
case_100,5,ok,47926,40766,1863742,1863742,0.3831375797115551,645760,1039692,1.17563655987833,0.8340539999999237,39fbe1a0a965dec08ab62a38e04931d3d2ad21bb316552f1f311e0d812ba3f25,,3.709537359564343,3.1553436548011518,58085.0,1.4248393268900554
