case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_086,5,ok,40905,36951,1898328,1898328,0.5382102091908176,837144,718278,1.1070065762766907,2.042376400000194,47d94f9ff8923d4e71b6da05d8e8cae904691f3a6d32d70d03e8a010bc7bfe24,
case_087,5,ok,885740,852871,25908378,25908378,0.5069576856598562,14296226,13903812,1.0385392398146964,19.910643400000026,8588e627d5dd658cbd83f985e37e2c6a8d20a5ad53477a146153b6321d973cd6,
case_088,5,ok,86863,75845,2220472,2220472,0.35416680662765676,1265234,2307190,1.145269958467928,1.2531593999997312,828c99e849863ab9b9450f1a1659785d6c94d1bbb380ca6b3620e17fa424c455,
case_089,5,ok,133604,133604,954880,954880,0.0,0,1357440,1.0,1.5679144000000633,3ac28abd0f96c8b48e87415b16b93aa3063c90b3527b48ca226a3cc17c670a89,
case_090,5,ok,261420,203403,8593920,8593920,0.49140371808112826,5298480,5483856,1.2852317812421645,0.4719662000002245,8f8301a591902ceb531a0670b0aeacda8e98e8592f7df637b2067b8425fbf5d6,
case_091,5,ok,1855564,1850709,32660992,32660992,0.1412748510893986,5537504,33659168,1.00262331895506,19.804735600000186,ca75aa66d8a086979d8f6019180746f6178c31497c296c300f03ef7825993b2b,
case_092,5,ok,827524,827834,4688256,4688256,0.20151297305810567,1269248,5029344,0.9996255287895882,9.105660600000192,3a1d8ae97abee815d8117edff0d646c0ddddd7aa61ccab43ad73899756fe0bd0,
case_093,5,ok,15876,15876,32768,32768,0.0,0,606208,1.0,0.20123689999991257,6d46bd5288ce6ae2cce27e74567a3e03b7ec6a87982c05048af6750615d14098,
case_094,5,ok,25114,25114,259200,259200,0.25388759910639974,185472,545056,1.0,0.2004308000000492,d35e5c67697f3945cbc8a946c6a61fb2908b420ab79e8ca86701c92e6f65f66e,
case_095,5,ok,420852,420852,0,0,0.0,0,8516508,1.0,1.7664064000000508,23bc2a91e21be76a82a97af2665dea4c52e73e94e9b8e706d538df9e694f270c,
case_096,5,ok,27053,27053,134784,134784,0.07011279720847197,24192,320852,1.0,0.2982744000000821,0021270dff33825143fca4bb712e51f6e8ac0ebefb0a792f84b0b59be6804202,
case_097,5,ok,2127942,2121402,19083264,19083264,0.2685558869977189,6268928,17074176,1.0030828668965146,3.715939000000162,556e60ea7c3c4e26324df15d75a53204c95f883a90fb728ff5bc8b7af69aecda,
case_098,5,ok,66750,61577,2165060,2165060,0.15488091485050887,315406,1721036,1.084008639589457,0.5813136000001577,b69dc861b43f6f7759d7a16de54c06098141e486beb851e71328432143e3008f,
case_099,5,ok,328708,328634,7618560,7618560,0.48697581763623066,4943872,5208320,1.0002251745102455,2.52909980000004,e5169f8f919c77bdd75816d4976b8559bf6757fb9df6b8730f9f49aafd0ca2fe,
case_100,5,ok,47926,40766,1863742,1863742,0.3831375797115551,645760,1039692,1.17563655987833,0.8340539999999237,39fbe1a0a965dec08ab62a38e04931d3d2ad21bb316552f1f311e0d812ba3f25,
