case,question,cores,method,selected,makespan,reference_cycles,raw_speedup_vs_original_singlecore,same_plan_cache_gain,generation_seconds,plan_sha256
case_066,2,4,trained,shared_prefix,264804,359070,1.3559840485793266,,0.37197890000243206,11e9069c4be10759e53af294751f42f587ac1ccbfe24f0b54a1076b6b9532b1e
case_071,2,4,component_scalar,component_scalar,18919,18919,1.0,,0.03680220000387635,b7c86567c10457951771394c1a7e554a02df8ebfa68e1a2bcb39e4934639d024
case_071,2,4,trained,shared_prefix,9795,18919,1.931495661051557,,0.03961919998982921,a40692493d91533e08831df71fa6710dcc2903e6c109e0185a929a2b3e568e5b
case_094,2,4,component_scalar,component_scalar,28226,94892,3.3618649472117905,,0.0531333000108134,2bb4e732a75f77560206a2cb138f9f3a08686222aaba9de06923c9197f2bc33a
case_094,2,4,trained,component_scalar,28226,94892,3.3618649472117905,,0.05985210000653751,2bb4e732a75f77560206a2cb138f9f3a08686222aaba9de06923c9197f2bc33a
case_009,2,5,component_scalar,component_scalar,92225,153261,1.6618162103551097,,0.46986379999725614,6676f2bf72d5e34eed27a02ab5d9b03667a800bc5231354ffd7e41e80a60664d
case_009,2,5,trained,component_affinity,92225,153261,1.6618162103551097,,0.4754654999997001,29b3b6728d8a245d751a260ebba5efa96151b77ac97a8c7a52de02e11c47b3d7
case_019,2,5,component_scalar,component_scalar,24202,81144,3.3527807619205023,,0.040514099993743,be8323a2b9b91cecab720010f9b751ecdb14f99bfe761cebceaa19eda7fe8460
case_019,2,5,trained,component_affinity,24202,81144,3.3527807619205023,,0.04838819999713451,b155731f154f55798ceaf4dc8f2ca525690d7aa23a21df94c8a7f6453aeeb1bd
case_026,2,5,component_scalar,component_scalar,45777,99203,2.167092644777945,,0.057637300007627346,5ee291e22b914fad55bee5c3a5a19fe625e62a36d22d3f85ef5a0199ce690a9a
case_026,2,5,trained,component_affinity,45534,99203,2.178657706329336,,0.046234800000092946,74a4bce99b6e660a2408085288506a4d4bacc87ec708a4a9f47611da268a7cf4
case_066,2,5,component_scalar,component_scalar,250447,359070,1.43371651487141,,0.3962362000020221,d293f1bad1f7d236aa15de32e7093db92aa50c23ab134f0a463f01d526649dbd
case_066,2,5,trained,shared_prefix,251744,359070,1.4263299224609127,,0.38480029998754617,c7501ce2d2a12f3b01c05e8dce06b76eb610c232306923bbc1a147b66f1053e2
case_071,2,5,component_scalar,component_scalar,18919,18919,1.0,,0.03656789999513421,1e71a3d32dc71c996be0e65d0064b9789c09b41ca4f17655f377e0e0bb674f7e
case_071,2,5,trained,shared_prefix,9508,18919,1.9897980647875473,,0.0446797000040533,60376c477d124f9858c4a4226a359c8190d52d6c18f959e4f93323aefb022dcc
case_094,2,5,component_scalar,component_scalar,23233,94892,4.08436275986743,,0.05438200000207871,cf59528a4532697816e213bb88bbbed34bc3024f7fb2fff2a182a1a285483f1a
case_094,2,5,trained,component_scalar,23233,94892,4.08436275986743,,0.053902300001936965,cf59528a4532697816e213bb88bbbed34bc3024f7fb2fff2a182a1a285483f1a
case_009,3,1,component_scalar,component_scalar,153852,153261,0.9961586459714531,1.0,0.3394508999917889,8763731649897e6042854bd71b83de21b90f140aad885ebca1e4d83e31e0063d
case_009,3,1,trained,component_scalar,153852,153261,0.9961586459714531,1.0,0.3272058000002289,8763731649897e6042854bd71b83de21b90f140aad885ebca1e4d83e31e0063d
case_019,3,1,component_scalar,component_scalar,78156,81144,1.0382312298479963,1.0,0.029204100006609224,0135cb278b39f4a74a4929b143e024ce78355721046757b33d4ec25e05344101
case_019,3,1,trained,join_tail,77162,81144,1.051605712656489,1.0,0.03012089998810552,3dfe4a54d417405015e94ce557706d6604414b4a1b741163f7d386253b8aab58
case_026,3,1,component_scalar,component_scalar,96638,99203,1.026542353939444,1.0,0.030844799999613315,5d6e0f23644ab24397b85b57dd5fb2670ea89fbabbf0c7df5d56f7e7795a064d
case_026,3,1,trained,component_scalar,96638,99203,1.026542353939444,1.0,0.030053800001041964,5d6e0f23644ab24397b85b57dd5fb2670ea89fbabbf0c7df5d56f7e7795a064d
case_066,3,1,component_scalar,component_scalar,358930,359070,1.000390048198813,1.0,0.32980059999681544,08547bca68dbb9f3f1232344d798bddfd999cb3697067047fa44d3c776ad088c
case_066,3,1,trained,component_scalar,358930,359070,1.000390048198813,1.0,0.32940339999913704,08547bca68dbb9f3f1232344d798bddfd999cb3697067047fa44d3c776ad088c
case_071,3,1,component_scalar,component_scalar,18919,18919,1.0,1.0,0.03656530000444036,e00c1ada9c9b2496b0b87bc56943834748c8c9058f8debdc8b15a8018fd210f9
case_071,3,1,trained,shared_prefix,18783,18919,1.007240589895118,1.0,0.04296849999809638,1b91a3b040e6a79ec1970b74155320d38d027ff66f4c65977fe1d2de49979194
case_094,3,1,component_scalar,component_scalar,93338,94892,1.016649167541623,1.0,0.03597070000250824,e5d1655eb903efd8b5aae60095f61dfde6040cd588b73b201dfa94181b82dcd1
case_094,3,1,trained,component_vector_reuse_order,92170,94892,1.0295323858088314,1.0,0.03765220000059344,280ac27c8985be3ec44b5243dcb141326b1e4e661cb082cf8108a89fefce884f
case_009,3,2,component_scalar,component_scalar,92198,153261,1.66230286991041,1.0,0.3215685999894049,eca4954903c786e2bf01254d19c1038e9260e12152e6d1ed1240330fbfec3992
case_009,3,2,trained,component_scalar,92198,153261,1.66230286991041,1.0,0.3214136000024155,eca4954903c786e2bf01254d19c1038e9260e12152e6d1ed1240330fbfec3992
case_019,3,2,component_scalar,component_scalar,39502,81144,2.054174472178624,1.0,0.04193359999044333,d759c2d78ffbdd769519de34b93e1f4951e9b28acbaa0140d06fc64ffa59e78f
case_019,3,2,trained,component_scalar,39502,81144,2.054174472178624,1.0,0.04396779999660794,d759c2d78ffbdd769519de34b93e1f4951e9b28acbaa0140d06fc64ffa59e78f
case_026,3,2,component_scalar,component_scalar,51691,99203,1.9191542047938712,1.0,0.045840999999199994,c93b2afb53a20718009b7d14a314dbf56f9fd92d544fd9efb3e546e3ab86a435
case_026,3,2,trained,component_scalar,51691,99203,1.9191542047938712,1.0,0.04757539999263827,c93b2afb53a20718009b7d14a314dbf56f9fd92d544fd9efb3e546e3ab86a435
case_066,3,2,component_scalar,component_scalar,248146,359070,1.44701103382686,1.0,0.34113739999884274,f0148b6bedee82a0c8c953e55c8107496c52dcc475b7ee8743d1c0b7a2017c60
case_066,3,2,trained,component_scalar,248146,359070,1.44701103382686,1.0,0.3370528999948874,f0148b6bedee82a0c8c953e55c8107496c52dcc475b7ee8743d1c0b7a2017c60
case_071,3,2,component_scalar,component_scalar,18919,18919,1.0,1.0,0.03858649999892805,7564d425a1529e6da7075ed8c8550b98157731f1e6d0279d0e87578b9bbe00a0
case_071,3,2,trained,shared_prefix,13182,18919,1.4352146866939766,1.0,0.03885240000090562,4189b5797b01b1e1d4ca7419000b0b84d67c25280645f7a6ea0f6c94c391318c
case_094,3,2,component_scalar,component_scalar,48939,94892,1.9389852673736692,1.0,0.05632950000290293,57927f9d0d2168c1af7e204df206e49fd387e2764d6b139168665a2b13431435
case_094,3,2,trained,component_scalar,48939,94892,1.9389852673736692,1.0,0.05619909999950323,57927f9d0d2168c1af7e204df206e49fd387e2764d6b139168665a2b13431435
case_009,3,3,component_scalar,component_scalar,92207,153261,1.6621406183912284,1.0,0.49748510000063106,d190f0ed1b29715ec04d71606b1d39637f671e64e681f5092afa8dd7dea41648
case_009,3,3,trained,component_affinity,92207,153261,1.6621406183912284,1.0,0.5036140000011073,8830f875e98d9eabd4cac074c795a1557a334495b9e9eb9dc1daae5930783584
case_019,3,3,component_scalar,component_scalar,27982,81144,2.899864198413266,1.0005360588950039,0.040769500003079884,cdeecd0287c6ccb632011d8d9e43584ae0571440dcfb268aca5d48f765aeedd1
case_019,3,3,trained,component_scalar,27982,81144,2.899864198413266,1.0005360588950039,0.038280299995676614,cdeecd0287c6ccb632011d8d9e43584ae0571440dcfb268aca5d48f765aeedd1
case_026,3,3,component_scalar,component_scalar,41958,99203,2.3643405310071977,1.0005720005720005,0.0426150000130292,64d84a6ca930e17292c61c7b1532bfcec4f50e55174067adef85552e999d2eb7
case_026,3,3,trained,component_affinity,41959,99203,2.3642841821778404,1.0005481541504802,0.04302399999869522,2c6a196fe14fe2059c28d3f4188215b4fd24bf48610783a291d3eb5814a66189
case_066,3,3,component_scalar,component_scalar,248979,359070,1.442169821551215,1.0,0.32022320000396576,ae5a1b58d7a2972440ed1b5e6aed99e8792232aba1203fcc738edb55d3a452e9
case_066,3,3,trained,component_scalar,248979,359070,1.442169821551215,1.0,0.3505460000014864,ae5a1b58d7a2972440ed1b5e6aed99e8792232aba1203fcc738edb55d3a452e9
case_071,3,3,component_scalar,component_scalar,18919,18919,1.0,1.0,0.039524199994048104,15649b1818bb8ee690307daa2ab90f2392be0f4709c19a7700c6c1057476f4a8
case_071,3,3,trained,shared_prefix,9834,18919,1.9238356721578198,1.000101688021151,0.04091630000039004,e970cc4f2a65872a790a16e83bf1c3307363968492f86d8c05d7eb2bc42c4586
case_094,3,3,component_scalar,component_scalar,34019,94892,2.7893824039507336,1.0,0.058192799988319166,c87dc441a9bf1d90b58f40c9a378c0b65332fa5a8c60663a26353f6f755151c8
case_094,3,3,trained,component_vector_reuse_order,37987,94892,2.498012477952984,1.0000789743859742,0.06024630001047626,8351af673c35d6f3add78f65ff896c1eac614708c0686f4690bd4b771322c933
case_009,3,4,component_scalar,component_scalar,92216,153261,1.6619783985425522,1.0,0.4775052000040887,efcdb522dd5c9d3f92910c9160988201e6c68f3a5abe7bfe07cf070bc84ff3d4
