case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,strategy,source_plan,source_result
case_019,3,81144,29121,29121,2.7864427732564128,24576,24576,0,36864,18432,baseline,baseline_results/case_019/q2_n3/case_019_multicore_res.json,baseline_results/case_019/q2_n3/result.json.gz
case_019,4,81144,24099,24099,3.3671106684924688,51744,51744,0,36864,18432,baseline,baseline_results/case_019/q2_n4/case_019_multicore_res.json,baseline_results/case_019/q2_n4/result.json.gz
case_019,5,81144,24169,21198,3.827908293235211,133716,133716,0,36864,39040,band_w12_k5,q2_optimization/band/case_019/n5/band_w12_k5/case_019_multicore_res.json,q2_optimization/band/case_019/n5/band_w12_k5/result.json.gz
case_020,2,532746,266580,266580,1.9984469952734638,0,0,0,0,32768,baseline,baseline_results/case_020/q2_n2/case_020_multicore_res.json,baseline_results/case_020/q2_n2/result.json.gz
case_020,3,532746,177950,177950,2.993796010115201,0,0,0,0,32768,baseline,baseline_results/case_020/q2_n3/case_020_multicore_res.json,baseline_results/case_020/q2_n3/result.json.gz
case_020,4,532746,133704,133704,3.984518039849219,0,0,0,0,32768,baseline,baseline_results/case_020/q2_n4/case_020_multicore_res.json,baseline_results/case_020/q2_n4/result.json.gz
case_020,5,532746,107650,107650,4.948871342313051,0,0,0,0,32768,baseline,baseline_results/case_020/q2_n5/case_020_multicore_res.json,baseline_results/case_020/q2_n5/result.json.gz
case_021,2,6567937,3194570,3194570,2.0559690349561914,3174400,1536000,1638400,524288,0,band_w8_k2_trimmed,q2_optimization/transfer/case_021/n2/band_w8_k2_trimmed/case_021_multicore_res.json,q2_optimization/transfer/case_021/n2/band_w8_k2_trimmed/result.json.gz
case_021,3,6567937,2144024,2144024,3.063369160046716,7766016,4710400,3055616,524288,0,band_w8_k3_trimmed,q2_optimization/transfer/case_021/n3/band_w8_k3_trimmed/case_021_multicore_res.json,q2_optimization/transfer/case_021/n3/band_w8_k3_trimmed/result.json.gz
case_021,4,6567937,1550324,1550324,4.236493145948847,4608000,4608000,0,425984,0,band_w8_k4_trimmed,q2_optimization/transfer/case_021/n4/band_w8_k4_trimmed/case_021_multicore_res.json,q2_optimization/transfer/case_021/n4/band_w8_k4_trimmed/result.json.gz
case_021,5,6567937,1250168,1250168,5.253643510312214,11431936,9420800,2011136,524288,0,baseline,baseline_results/case_021/q2_n5/case_021_multicore_res.json,baseline_results/case_021/q2_n5/result.json.gz
case_022,2,56780,28333,28333,2.004023576747962,6912,6912,0,22528,69644,baseline,baseline_results/case_022/q2_n2/case_022_multicore_res.json,baseline_results/case_022/q2_n2/result.json.gz
case_022,3,56780,19128,19128,2.968423253868674,13824,13824,0,22528,72720,baseline,baseline_results/case_022/q2_n3/case_022_multicore_res.json,baseline_results/case_022/q2_n3/result.json.gz
case_022,4,56780,14654,14654,3.874709976798144,13824,13824,0,22528,60424,baseline,baseline_results/case_022/q2_n4/case_022_multicore_res.json,baseline_results/case_022/q2_n4/result.json.gz
case_022,5,56780,11828,11828,4.800473452823808,20736,20736,0,22528,62472,baseline,baseline_results/case_022/q2_n5/case_022_multicore_res.json,baseline_results/case_022/q2_n5/result.json.gz
case_023,2,122614,61227,58867,2.0828987378327417,855920,656728,199192,64512,130310,band_w4_k2_trimmed,q2_optimization/transfer/case_023/n2/band_w4_k2_trimmed/case_023_multicore_res.json,q2_optimization/transfer/case_023/n2/band_w4_k2_trimmed/result.json.gz
case_023,3,122614,41662,37942,3.231616678087607,1147244,1112428,34816,62976,129934,band_w4_k3_trimmed,q2_optimization/transfer/case_023/n3/band_w4_k3_trimmed/case_023_multicore_res.json,q2_optimization/transfer/case_023/n3/band_w4_k3_trimmed/result.json.gz
case_023,4,122614,31519,31519,3.890161489894984,281280,281280,0,90112,28806,baseline,baseline_results/case_023/q2_n4/case_023_multicore_res.json,baseline_results/case_023/q2_n4/result.json.gz
case_023,5,122614,25191,25191,4.867373268230717,280992,280992,0,90112,28806,baseline,baseline_results/case_023/q2_n5/case_023_multicore_res.json,baseline_results/case_023/q2_n5/result.json.gz
case_024,2,2555343,2555343,1336613,1.9118046884176647,396040,396040,0,393216,65546,q1_selected,q2_optimization/case_024/n2/q1_selected/case_024_multicore_res.json,q2_optimization/case_024/n2/q1_selected/result.json.gz
case_024,3,2555343,2555343,953369,2.680329442220169,4032,4032,0,131072,65542,band_w4_k3_trimmed,q2_optimization/transfer/case_024/n3/band_w4_k3_trimmed/case_024_multicore_res.json,q2_optimization/transfer/case_024/n3/band_w4_k3_trimmed/result.json.gz
case_024,4,2555343,2555343,743623,3.43634207118392,4836,4836,0,98304,65540,band_w4_k4_trimmed,q2_optimization/transfer/case_024/n4/band_w4_k4_trimmed/case_024_multicore_res.json,q2_optimization/transfer/case_024/n4/band_w4_k4_trimmed/result.json.gz
case_024,5,2555343,2555343,703840,3.630573709934076,201844,201844,0,196608,65540,q1_selected,q2_optimization/case_024/n5/q1_selected/case_024_multicore_res.json,q2_optimization/case_024/n5/q1_selected/result.json.gz
case_025,2,4863026,2431840,2431840,1.9997310678334101,27648,27648,0,35328,6144,band_w8_k2_trimmed,q2_optimization/transfer/case_025/n2/band_w8_k2_trimmed/case_025_multicore_res.json,q2_optimization/transfer/case_025/n2/band_w8_k2_trimmed/result.json.gz
case_025,3,4863026,1622164,1622164,2.9978633479722148,55296,55296,0,35328,6144,band_w8_k3_trimmed,q2_optimization/transfer/case_025/n3/band_w8_k3_trimmed/case_025_multicore_res.json,q2_optimization/transfer/case_025/n3/band_w8_k3_trimmed/result.json.gz
case_025,4,4863026,1217444,1217444,3.9944555971362954,82944,82944,0,35328,6144,band_w8_k4_trimmed,q2_optimization/transfer/case_025/n4/band_w8_k4_trimmed/case_025_multicore_res.json,q2_optimization/transfer/case_025/n4/band_w8_k4_trimmed/result.json.gz
case_025,5,4863026,975282,975282,4.986276789687495,110592,110592,0,35328,6144,baseline,baseline_results_15_55/case_025/q2_n5/case_025_multicore_res.json,baseline_results_15_55/case_025/q2_n5/result.json.gz
case_026,2,99203,58112,56007,1.7712607352652348,23336,23336,0,183040,58112,data_band_w12_k2_trimmed,q2_optimization/transfer_data_band/case_026/n2/data_band_w12_k2_trimmed/case_026_multicore_res.json,q2_optimization/transfer_data_band/case_026/n2/data_band_w12_k2_trimmed/result.json.gz
case_026,3,99203,41655,41655,2.3815388308726444,95664,95664,0,163840,57344,baseline,baseline_results_15_55/case_026/q2_n3/case_026_multicore_res.json,baseline_results_15_55/case_026/q2_n3/result.json.gz
case_026,4,99203,42226,41655,2.3815388308726444,95664,95664,0,163840,57344,q1_selected,q2_optimization/case_026/n4/q1_selected/case_026_multicore_res.json,q2_optimization/case_026/n4/q1_selected/result.json.gz
case_026,5,99203,44114,41655,2.3815388308726444,95664,95664,0,163840,57344,q1_selected,q2_optimization/case_026/n5/q1_selected/case_026_multicore_res.json,q2_optimization/case_026/n5/q1_selected/result.json.gz
