case,cores,A_speedup,A_makespan_cycles,A_added_copy_bytes,A_spill_added_copy_bytes,B_speedup,B_makespan_cycles,B_added_copy_bytes,B_spill_added_copy_bytes
case_048,5,1.9715036019731005,112716.0,717046.0,0.0,1.7451055843064576,127339.0,415760.0,0.0
case_049,2,1.3997618045799132,140221.0,1426960.0,0.0,1.4845551084621669,132212.0,795798.0,0.0
case_049,3,1.6165845783847004,121414.0,788740.0,0.0,1.6956889848812096,115750.0,1226378.0,0.0
case_049,4,1.9415773906678142,101091.0,846224.0,0.0,1.9191004644341236,102275.0,1531118.0,0.0
case_049,5,1.777186215389073,110442.0,1570238.0,0.0,2.008000245531832,97747.0,1726740.0,0.0
case_050,2,1.779545157340371,84117.0,720726.0,0.0,1.9856472023983234,75386.0,597958.0,0.0
case_050,3,2.0196173669014272,74118.0,1257138.0,0.0,2.4773678897108717,60423.0,919320.0,0.0
case_050,4,3.0272817360001616,49447.0,707666.0,0.0,3.0415523722442344,49215.0,1303162.0,0.0
case_050,5,3.3233426579636784,45042.0,975622.0,0.0,3.1372343546967345,47714.0,1526304.0,0.0
case_051,2,1.6974982888910617,357955.0,9045258.0,0.0,1.6009801467585334,379535.0,9438408.0,9437644.0
case_051,3,2.086476983194951,291222.0,9045304.0,0.0,2.6648831426278328,228013.0,376.0,0.0
case_051,4,2.389338911870645,254308.0,9045350.0,0.0,3.159036319965063,192346.0,1332.0,0.0
case_051,5,2.3935932182024455,253856.0,9045396.0,0.0,3.165372132881158,191961.0,1520.0,0.0
case_052,2,1.9758147588050934,91254.0,102912.0,0.0,1.9758147588050934,91254.0,102912.0,0.0
case_052,3,2.845614810372311,63361.0,181248.0,0.0,2.845614810372311,63361.0,181248.0,0.0
case_052,4,3.778231805703988,47721.0,259584.0,0.0,3.778231805703988,47721.0,259584.0,0.0
case_052,5,3.4894716469905167,51670.0,328704.0,0.0,3.4894716469905167,51670.0,328704.0,0.0
case_053,2,1.900414102453257,774929.0,5959552.0,4924800.0,2.0483246194909115,718971.0,4639598.0,0.0
case_053,3,2.6967035703691224,546106.0,5882944.0,4768320.0,2.6967035703691224,546106.0,5882944.0,4768320.0
case_053,4,2.991853434965626,492232.0,6360992.0,4291488.0,2.991853434965626,492232.0,6360992.0,4291488.0
case_053,5,3.600611231999218,409010.0,8797386.0,0.0,2.829661482651418,520446.0,9600548.0,3831888.0
case_054,2,1.8333468295206603,444570.0,1442752.0,0.0,1.869687494981981,435929.0,661958.0,0.0
case_054,3,2.6180237245561684,311323.0,2153244.0,0.0,2.76118123733832,295182.0,1733776.0,0.0
case_054,4,3.266488724305564,249519.0,2064246.0,0.0,3.517578158717006,231708.0,1766610.0,0.0
case_054,5,4.1031358078140965,198641.0,2566484.0,0.0,4.032989272424986,202096.0,2922392.0,0.0
case_055,2,1.8069916671735295,65764.0,57856.0,0.0,1.8069916671735295,65764.0,57856.0,0.0
case_055,3,2.7201455810653057,43687.0,115712.0,0.0,2.7201455810653057,43687.0,115712.0,0.0
case_055,4,3.788535722255874,31367.0,115712.0,0.0,3.788535722255874,31367.0,115712.0,0.0
case_055,5,4.437287629289422,26781.0,198656.0,0.0,4.437287629289422,26781.0,198656.0,0.0
case_056,2,1.650378244540601,168013.0,2372334.0,0.0,1.4813657296107532,187182.0,1022802.0,0.0
case_056,3,2.338655263734966,118566.0,2182548.0,0.0,1.9171097298754813,144637.0,1371916.0,0.0
case_056,4,1.8987961542675578,146032.0,4613390.0,0.0,2.2907596348465447,121045.0,1936314.0,0.0
case_056,5,3.506252924142989,79083.0,1286732.0,0.0,2.456131803888569,112895.0,2504008.0,0.0
case_057,2,1.7707085680403203,33730.0,288.0,0.0,1.7707085680403203,33730.0,288.0,0.0
case_057,3,2.3653861386138613,25250.0,288.0,0.0,2.3653861386138613,25250.0,288.0,0.0
case_057,4,2.8499308107076393,20957.0,288.0,0.0,2.8499308107076393,20957.0,288.0,0.0
case_057,5,3.6114403192647235,16538.0,27936.0,0.0,3.6114403192647235,16538.0,27936.0,0.0
case_058,2,1.9987166030618373,2271316.0,33431552.0,26808320.0,1.9594104828089858,2316879.0,31506432.0,29216768.0
case_058,3,2.9197494775959574,1554831.0,30400512.0,21209088.0,2.9197494775959574,1554831.0,30400512.0,21209088.0
case_058,4,3.9321284448328697,1154519.0,42622976.0,22753280.0,3.562314173322881,1274373.0,27066368.0,13930496.0
case_058,5,4.517945022934478,1004819.0,32104448.0,13721600.0,4.517945022934478,1004819.0,32104448.0,13721600.0
case_059,2,2.2459587672412393,369318.0,360448.0,0.0,2.2459587672412393,369318.0,360448.0,0.0
case_059,3,3.1157777301975456,266217.0,2998272.0,835584.0,3.1157777301975456,266217.0,2998272.0,835584.0
case_059,4,4.478408992743607,185216.0,1081344.0,0.0,4.478408992743607,185216.0,1081344.0,0.0
case_059,5,5.501140719714555,150782.0,4325376.0,0.0,5.501140719714555,150782.0,4325376.0,0.0
case_060,2,1.8933083672569482,469437.0,2768912.0,1570832.0,1.8933083672569482,469437.0,2768912.0,1570832.0
case_060,3,2.656098523109658,334622.0,3439756.0,1033228.0,2.656098523109658,334622.0,3439756.0,1033228.0
case_060,4,3.8746942885915696,229383.0,3699968.0,146432.0,3.8746942885915696,229383.0,3699968.0,146432.0
case_060,5,4.849562399057139,183272.0,4290944.0,81920.0,4.849562399057139,183272.0,4290944.0,81920.0
case_061,2,1.9641975622789385,39299.0,34560.0,0.0,1.9641975622789385,39299.0,34560.0,0.0
case_061,3,2.7171318948220633,28409.0,43008.0,0.0,2.7171318948220633,28409.0,43008.0,0.0
case_061,4,2.8414562320547745,27166.0,62208.0,0.0,2.8414562320547745,27166.0,62208.0,0.0
case_061,5,3.6342278719397365,21240.0,147464.0,0.0,3.684710487374099,20949.0,157028.0,0.0
case_062,2,1.9930500383277645,1432382.0,453120.0,0.0,1.7566768956611793,1625119.0,16422912.0,7180800.0
case_062,3,2.9800827380598207,957963.0,453120.0,0.0,2.5352710434914663,1126037.0,15585792.0,3941376.0
case_062,4,3.96434626958525,720121.0,453120.0,0.0,3.2245996371941508,885322.0,14976000.0,1124352.0
case_062,5,4.908931930654763,581554.0,453120.0,0.0,5.028241054680276,567755.0,15037440.0,251904.0
case_063,2,1.9876385028048733,538527.0,192000.0,0.0,1.828100983051079,585524.0,5064192.0,1598976.0
case_063,3,2.964177219746837,361111.0,192000.0,0.0,3.0493990353798512,351019.0,4792320.0,15360.0
