case,cores,singlecore_cycles,baseline_cycles,selected_cycles,speedup,added_copy_bytes,strategy,source_plan
case_027,3,2363952,837049,837049,2.8241500796249683,3686400,baseline,baseline_results_15_55/case_027/q1_n3/case_027_multicore_res.json
case_027,4,2363952,559196,559196,4.227412213249022,3317760,baseline,baseline_results_15_55/case_027/q1_n4/case_027_multicore_res.json
case_027,5,2363952,558753,558753,4.230763861670542,5529600,baseline,baseline_results_15_55/case_027/q1_n5/case_027_multicore_res.json
case_028,2,43836040,23638628,22065328,1.9866480117585381,231418944,valley_split,q1_optimization/case_028/n2/valley_split/case_028_multicore_res.json
case_028,3,43836040,16770711,16697261,2.6253431625701964,232113888,valley_split,q1_optimization/case_028/n3/valley_split/case_028_multicore_res.json
case_028,4,43836040,13608312,13045632,3.3602082290838804,236235240,valley_split,q1_optimization/case_028/n4/valley_split/case_028_multicore_res.json
case_028,5,43836040,11491035,10291425,4.259472327690286,236587968,valley_split,q1_optimization/case_028/n5/valley_split/case_028_multicore_res.json
case_029,2,37555,19740,19740,1.9024822695035462,0,baseline,baseline_results_29_55/case_029/q1_n2/case_029_multicore_res.json
case_029,3,37555,12743,12743,2.9471082162756024,0,baseline,baseline_results_29_55/case_029/q1_n3/case_029_multicore_res.json
case_029,4,37555,11028,11028,3.405422560754443,0,baseline,baseline_results_29_55/case_029/q1_n4/case_029_multicore_res.json
case_029,5,37555,9383,9383,4.002451241607162,0,baseline,baseline_results_29_55/case_029/q1_n5/case_029_multicore_res.json
case_030,2,2808034,1401423,1401423,2.003701951516423,6940672,baseline,baseline_results_29_55/case_030/q1_n2/case_030_multicore_res.json
case_030,3,2808034,933969,933969,3.0065601749094455,9071616,baseline,baseline_results_29_55/case_030/q1_n3/case_030_multicore_res.json
case_030,4,2808034,699591,699591,4.0138223619228945,8632320,baseline,baseline_results_29_55/case_030/q1_n4/case_030_multicore_res.json
case_030,5,2808034,561192,561192,5.0036957048568045,11644416,baseline,baseline_results_29_55/case_030/q1_n5/case_030_multicore_res.json
case_031,2,1414369,735345,735345,1.923408740115184,5564928,baseline,baseline_results_29_55/case_031/q1_n2/case_031_multicore_res.json
case_031,3,1414369,486363,486363,2.9080522161430866,5018112,baseline,baseline_results_29_55/case_031/q1_n3/case_031_multicore_res.json
case_031,4,1414369,398198,398198,3.5519239172471986,7971840,baseline,baseline_results_29_55/case_031/q1_n4/case_031_multicore_res.json
case_031,5,1414369,308135,308135,4.590095250458403,8217600,baseline,baseline_results_29_55/case_031/q1_n5/case_031_multicore_res.json
case_032,2,41443,21880,21880,1.8941042047531993,6216,baseline,baseline_results_29_55/case_032/q1_n2/case_032_multicore_res.json
case_032,3,41443,15402,15402,2.690754447474354,12360,baseline,baseline_results_29_55/case_032/q1_n3/case_032_multicore_res.json
case_032,4,41443,14274,14274,2.9033907804399606,12360,baseline,baseline_results_29_55/case_032/q1_n4/case_032_multicore_res.json
case_032,5,41443,10415,10415,3.9791646663466156,12360,baseline,baseline_results_29_55/case_032/q1_n5/case_032_multicore_res.json
case_033,2,1774196,897883,897883,1.975976825488399,6229536,baseline,baseline_results_29_55/case_033/q1_n2/case_033_multicore_res.json
case_033,3,1774196,604202,604202,2.9364285454202403,7803456,baseline,baseline_results_29_55/case_033/q1_n3/case_033_multicore_res.json
case_033,4,1774196,460454,460454,3.853144939559652,7531104,baseline,baseline_results_29_55/case_033/q1_n4/case_033_multicore_res.json
