case,cores,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_added_copy_bytes,plan_sha256,seconds,error
case_085,5,ok,746292,10855448,12545182,0,a8e93b023e6d97f3119b454dabb3f879196b59721c4a090de056f54691f17e96,7.356149800005369,
case_086,5,ok,42073,1934424,2272446,0,bf78c2b76f26ba7531fb6b664722a9238828b2fad051ad9a87be4a28bd41ed9a,1.1655653000052553,
case_087,5,ok,888504,11773440,17692538,5483520,517fd09dc6ad790f6007ef378c1270e2cddb16d05bfd50f66086a91f2d3b6e34,12.992067900006077,
case_088,5,ok,86863,2220472,4050270,0,828c99e849863ab9b9450f1a1659785d6c94d1bbb380ca6b3620e17fa424c455,0.8389975000027334,
case_089,5,ok,147432,954880,1521280,0,45b0caa8d33898a2d757622ef883c1457e7fda931febd7e5b77b4642ba444d1e,0.8614647000067635,
case_090,5,ok,285660,8893440,11121792,0,adadd18e3bc532ae60909b4b27eeb9105f9d33297943dea422caeac928440fc9,0.307552799989935,
case_091,5,ok,1874503,71279104,77856760,45365760,3e146e73f2ec35a283355bd895344591f99c1e1606e2938769a7630d4e49e818,17.235004000001936,
case_092,5,ok,819820,4524416,7781344,802816,b70deca5eb8b14f4111ffca97bcbd8128aa40387d30496d70e38d1db378e6608,6.181086600001436,
case_093,5,ok,15876,32768,747520,0,6d46bd5288ce6ae2cce27e74567a3e03b7ec6a87982c05048af6750615d14098,0.09774650000326801,
case_094,5,ok,25530,259200,785892,0,bcf34fcd33501d5fc6584f092393808aa00fd29cb0281aace3b0f16a530b3c28,0.09182269999291748,
case_095,5,ok,420852,0,11355036,0,23bc2a91e21be76a82a97af2665dea4c52e73e94e9b8e706d538df9e694f270c,1.108944200008409,
case_096,5,ok,27053,134784,354342,0,59faa9286047c84d12b631ef182c7e527b6ec1047efbf6cdbdec5949f7183b1f,0.1592642000032356,
case_097,5,ok,2102348,21311488,26357760,4272128,f01e347ec42e6bf5ab9006aa087cb62318aec498f22094d67c6eda897fda5c3e,2.5011412000021664,
case_098,5,ok,70962,987336,1685330,0,c0a4e853de31d1af0939d0d2f8ec9b6cc55f837c917eae8ac86b1446683f9788,0.26827420000336133,
case_099,5,ok,337221,10698752,13232788,3080192,75f2556e7ce450a26b050b8f8a536f583e5a71ccd4ffe792a333b74a015729d8,1.6175112000055378,
case_100,5,ok,58085,211968,666566,0,0559f888440b589988e5b3c984e8745037bb04a551dcc8b48ae062593793bcfc,0.23041099999682046,
