case,cores,evaluation_budget,completed_evaluations,best_cycles,speedup,elapsed_seconds_at_last_evaluation,stopped_before_budget
case_011,4,4,1,46880,3.9397824232081913,0.19982149999850662,True
case_011,4,5,1,46880,3.9397824232081913,0.19982149999850662,True
case_011,4,6,1,46880,3.9397824232081913,0.19982149999850662,True
case_011,5,1,1,47287,3.905872649988369,0.22658369999408023,False
case_011,5,2,2,46880,3.9397824232081913,0.35757339999690885,False
case_011,5,3,2,46880,3.9397824232081913,0.35757339999690885,True
case_011,5,4,2,46880,3.9397824232081913,0.35757339999690885,True
case_011,5,5,2,46880,3.9397824232081913,0.35757339999690885,True
case_011,5,6,2,46880,3.9397824232081913,0.35757339999690885,True
case_012,2,1,1,30094,1.9634478633614674,0.38066609999805223,False
case_012,2,2,2,30094,1.9634478633614674,0.6234708999982104,False
case_012,2,3,3,30094,1.9634478633614674,0.883849799996824,False
case_012,2,4,4,30094,1.9634478633614674,1.1303971000015736,False
case_012,2,5,4,30094,1.9634478633614674,1.1303971000015736,True
case_012,2,6,4,30094,1.9634478633614674,1.1303971000015736,True
case_012,3,1,1,21894,2.6988215949575225,0.397081100003561,False
case_012,3,2,2,21894,2.6988215949575225,0.6720166000013705,False
case_012,3,3,3,21894,2.6988215949575225,0.9288279000029434,False
case_012,3,4,4,21894,2.6988215949575225,1.2077646000034292,False
case_012,3,5,4,21894,2.6988215949575225,1.2077646000034292,True
case_012,3,6,4,21894,2.6988215949575225,1.2077646000034292,True
case_012,4,1,1,17236,3.42817359016013,0.38889250000647735,False
case_012,4,2,2,17236,3.42817359016013,0.674943500001973,False
case_012,4,3,3,17236,3.42817359016013,0.9803186000062851,False
case_012,4,4,3,17236,3.42817359016013,0.9803186000062851,True
case_012,4,5,3,17236,3.42817359016013,0.9803186000062851,True
case_012,4,6,3,17236,3.42817359016013,0.9803186000062851,True
case_012,5,1,1,14300,4.132027972027972,0.4243970999959856,False
case_012,5,2,2,14300,4.132027972027972,0.731075099996815,False
case_012,5,3,3,14300,4.132027972027972,1.0083774999948218,False
case_012,5,4,3,14300,4.132027972027972,1.0083774999948218,True
case_012,5,5,3,14300,4.132027972027972,1.0083774999948218,True
case_012,5,6,3,14300,4.132027972027972,1.0083774999948218,True
case_013,2,1,1,132198,1.9966187083011846,1.1909414999972796,False
case_013,2,2,1,132198,1.9966187083011846,1.1909414999972796,True
case_013,2,3,1,132198,1.9966187083011846,1.1909414999972796,True
case_013,2,4,1,132198,1.9966187083011846,1.1909414999972796,True
case_013,2,5,1,132198,1.9966187083011846,1.1909414999972796,True
case_013,2,6,1,132198,1.9966187083011846,1.1909414999972796,True
case_013,3,1,1,88351,2.98750438591527,0.868239999996149,False
case_013,3,2,1,88351,2.98750438591527,0.868239999996149,True
case_013,3,3,1,88351,2.98750438591527,0.868239999996149,True
case_013,3,4,1,88351,2.98750438591527,0.868239999996149,True
case_013,3,5,1,88351,2.98750438591527,0.868239999996149,True
case_013,3,6,1,88351,2.98750438591527,0.868239999996149,True
case_013,4,1,1,66982,3.9405959810098237,0.7791365000011865,False
