case,cores,singlecore_cycles,baseline_cycles,makespan_cycles,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,bound_pruned,invalid_candidates,cold_search_wall_seconds,selected
case_039,2,1435262,708561,708561,2.025601183243221,0.0,11067392,6864896,524288,0,23,7,0,32.896332399999665,cold
case_039,3,1435262,485565,474850,3.022558702748236,2.206707649851204,13881344,4698112,524288,0,24,27,0,42.8421617999993,cold
case_039,4,1435262,395323,367778,3.902522717508932,6.967720066882017,12492800,6103040,524288,0,24,22,0,36.551493299997674,cold
case_039,5,1435262,431161,395087,3.632774553452784,8.366712202634282,17776640,5152768,524288,0,24,36,0,43.13314309999987,cold
case_040,2,253454,144027,137167,1.8477767976262511,4.762995827171294,278086,0,245760,103270,24,10,0,14.126485099997808,cold
case_040,3,253454,110105,110105,2.301929975932065,0.0,0,0,245760,90112,24,8,0,13.779730199999904,cold
case_040,4,253454,110202,108776,2.3300544237699494,1.2939874049472786,3337500,0,82176,90242,24,7,0,22.56887740000093,cold
case_040,5,253454,110337,102679,2.468411262283427,6.940554845609361,3505998,0,57856,84356,24,9,0,33.03361640000003,cold
case_041,2,6003957,3002984,2990754,2.0075061339046942,0.4072615771512602,32353304,27420672,524288,8200,21,13,0,185.02465669999947,cold
case_041,3,6003957,1998385,1997284,3.006060730471981,0.055094488799705764,34487376,24566784,524288,16386,18,12,0,181.86760850000064,cold
case_041,4,6003957,1501288,1498779,4.0058988016245225,0.16712316357687532,34913292,21209088,524288,8198,20,40,0,201.09948059999806,cold
case_041,5,6003957,1213259,1204262,4.985590344958157,0.7415564195278996,38810672,20245504,524288,10244,13,54,0,192.94259320000128,cold
case_042,2,1686740,849537,849537,1.9854815034542346,0.0,6469920,4417536,524288,32776,24,11,0,41.660607900001196,cold
case_042,3,1686740,567781,567697,2.9711976635423474,0.014794436587346176,8280352,4159488,524288,32776,24,19,0,48.04188620000059,cold
case_042,4,1686740,444517,423165,3.986010185152364,4.803415842363734,4217704,785408,524288,33800,24,44,0,59.805618599999434,cold
case_042,5,1686740,362266,362118,4.657984413920325,0.04085395814125532,10058752,2092032,524288,32776,24,65,0,61.105767000000924,cold
case_043,2,677656,353177,343756,1.9713285004479921,2.6675009980831144,2195566,268176,524176,129734,24,15,0,112.46093169999949,cold
case_043,3,677656,268777,265494,2.5524343299660255,1.2214586813603843,3493796,38116,295232,122900,24,8,0,100.2804305000027,cold
case_043,4,677656,269194,218005,3.1084424669158963,19.01565413790798,4905084,0,236544,104422,24,0,0,124.82967849999841,cold
case_043,5,677656,269612,187206,3.61984124440456,30.56466329391867,4990160,0,244736,115734,24,1,0,114.39915179999662,cold
case_044,2,154407,131105,43887,3.5182855971016473,66.5253041455322,930400,0,172160,0,24,8,0,6.896406300002127,cold
case_044,3,154407,123553,43931,3.514761785527304,64.44359910321886,930400,0,172160,0,24,12,0,8.244783300000563,cold
case_044,4,154407,124268,43931,3.514761785527304,64.64817974056072,930400,0,172160,0,24,16,0,9.736366299999645,cold
case_044,5,154407,132892,43931,3.514761785527304,66.94232910935195,930400,0,172160,0,24,19,0,11.094053500000882,cold
case_045,2,125614,63059,63059,1.99200748505368,0.0,0,0,0,32768,14,22,0,4.828016800001933,cold
case_045,3,125614,42601,42601,2.94861622966597,0.0,0,0,0,32768,24,30,0,7.219682900002226,cold
case_045,4,125614,31878,31878,3.940460505677897,0.0,0,0,0,32768,15,40,0,4.18139230000088,cold
case_045,5,125614,26164,26164,4.801024308209754,0.0,0,0,0,32768,24,24,0,6.58817899999849,cold
case_046,2,276455,166578,105918,2.610085160218282,36.41537297842452,930400,0,213504,0,24,16,0,5.260167799999181,cold
case_046,3,276455,142176,79904,3.459839307168602,43.79923475129417,1860800,0,197120,0,24,14,0,5.563564099997166,cold
case_046,4,276455,124612,78100,3.5397567221510884,37.32545822232209,2791200,0,180736,0,24,9,0,5.16701479999756,cold
case_046,5,276455,131039,78210,3.53477816136044,40.315478597974646,2791200,0,180736,0,24,14,0,6.029151399998227,cold
case_047,2,326508,326508,175422,1.861271676300578,46.273291925465834,500422,0,14592,28612,24,4,0,160.7914313000001,cold
case_047,3,326508,326508,126977,2.5713948195342464,61.11060065909564,1334028,0,21504,9572,24,4,0,142.49993970000287,cold
case_047,4,326508,326508,102614,3.1819050032159355,68.57228613081456,1057490,0,13824,9444,24,0,0,136.2407424999983,cold
case_047,5,326508,326508,94326,3.461484638381782,71.11066191333751,2350744,0,18624,8516,24,1,0,132.74126890000116,cold
case_048,2,222220,222220,130812,1.698773812800049,41.1340113401134,584518,0,13056,12292,24,6,0,10.50560680000126,cold
case_048,3,222220,222220,94684,2.3469646402771325,57.39177391773917,695564,0,8448,10628,24,2,0,8.969239000001835,cold
case_048,4,222220,222220,94456,2.352629795883798,57.494374943749435,761806,0,8704,10756,24,0,0,9.462433400000009,cold
case_048,5,222220,222220,93690,2.371864660049098,57.839078390783904,634002,0,8704,10308,24,0,0,10.262497499999881,cold
