case,cores,singlecore_cycles,initial_cycles,makespan_cycles,initial_speedup,speedup,reduction_percent,added_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,locality_ratio,internalized_bytes,buffer85_ok,evaluations,wall_seconds,selected
case_025,4,4863026,1217444,1217444,3.9944555971362954,3.9944555971362954,0.0,82944,0,35328,6144,1.0,53234688,True,8,156.79122209595516,base_w0_k4
case_025,5,4863026,975282,975282,4.986276789687495,4.986276789687495,0.0,110592,0,35328,6144,1.0,53234688,True,8,144.61307750002015,base_w0_k5
case_026,2,99203,58112,56363,1.707100082599119,1.760073097599489,3.0097053964757707,1011308,102536,87680,129024,0.9080188883443954,3146280,False,8,2.308349494007416,data_w2_k2
case_026,3,99203,41655,41655,2.3815388308726444,2.3815388308726444,0.0,95664,0,163840,57344,1.0,3464994,True,8,2.1134602159727365,base_w0_k3
case_026,4,99203,42226,42226,2.3493345332259743,2.3493345332259743,0.0,170832,0,163840,57344,1.0,3464994,True,8,2.249898390029557,base_w0_k4
case_026,5,99203,44114,44114,2.2487872330779344,2.2487872330779344,0.0,211680,0,163840,57344,1.0,3464994,True,8,2.398356307996437,base_w0_k5
case_027,2,2363952,1120962,1120962,2.10886006840553,2.10886006840553,0.0,1744896,638976,524288,0,1.0,17301504,False,8,5.886122765950859,base_w0_k2
case_027,3,2363952,837049,837049,2.8241500796249683,2.8241500796249683,0.0,3686400,0,518144,0,1.0,17301504,False,8,7.027866618009284,base_w0_k3
case_027,4,2363952,559196,559196,4.227412213249022,4.227412213249022,0.0,3317760,0,245760,0,1.0,17301504,True,8,6.51526112499414,base_w0_k4
case_027,5,2363952,558753,558753,4.230763861670542,4.230763861670542,0.0,5529600,0,69632,0,1.0,17301504,True,8,6.722542114963289,base_w0_k5
case_028,2,43836040,23638628,20588672,1.8544240384848054,2.129133923742143,12.902423947785802,41697408,39447552,523776,0,0.9995420673577287,110638080,False,8,169.0731385719846,chain_s24_r314_d50_c1
case_028,3,43836040,16770711,13639299,2.613845054034978,3.2139510982199306,18.671909616712135,36663552,32366592,523776,0,1.0,110688768,False,8,143.34087158599868,band_w2_k3
case_028,4,43836040,13608312,10364241,3.2212694711879033,4.229546572681975,23.838893464523743,34801536,14057472,519336,0,0.9352233462387078,103518720,False,8,138.89605191000737,split_s36_d38_c3
case_028,5,43836040,11491035,8264697,3.814803453300769,5.304010540253321,28.07700089678606,32580096,11059200,520704,0,0.9416066497370357,104225280,False,8,157.06338158494327,chain_s15_r56_d14_c3
case_029,2,37555,19740,19504,1.9024822695035462,1.9255024610336342,1.1955420466058764,266530,0,0,92182,0.9937589220431043,685002,True,8,2.9773667010013014,valley_w1_k2
