case,cores,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,spill_bytes,peak_l1_bytes,peak_ub_bytes,evaluations,wall_seconds,selected,bound_pruned,invalid_candidates,stop_reason,global_lower_bound_cycles,certified_gap,singlecore_cycles,baseline_cycles,speedup,baseline_speedup,reduction_percent
case_026,2,58112,288,529142,0,163840,57344,2,0.6822926999957417,component_baseline,1,0,fixed_candidate_budget,35384.0,0.6423242143341623,99203,58112,1.707100082599119,1.707100082599119,0.0
case_026,3,41655,95664,624518,0,163840,57344,2,0.515772200000356,component_baseline,1,0,fixed_candidate_budget,23589.333333333332,0.765840492878137,99203,41655,2.3815388308726444,2.3815388308726444,0.0
case_026,4,41655,95664,624518,0,163840,57344,2,0.5042727999971248,reuse_pack_k3,1,0,fixed_candidate_budget,17692.0,1.3544539905041826,99203,42226,2.3815388308726444,2.3493345332259743,1.3522474304930587
case_026,5,41655,95664,624518,0,163840,57344,3,0.6307457000002614,reuse_pack_k3,0,0,fixed_candidate_budget,14153.6,1.9430674881302283,99203,44114,2.3815388308726444,2.2487872330779344,5.574194133381694
case_027,2,1120962,1744896,3784704,638976,524288,0,1,0.7503759999963222,component_baseline,0,0,certified_gap,1114560.0,0.005743970714900959,2363952,1120962,2.10886006840553,2.10886006840553,0.0
case_027,3,837049,3686400,5726208,0,518144,0,2,1.3859301999982563,component_baseline,1,0,fixed_candidate_budget,743040.0,0.1265194336778639,2363952,837049,2.8241500796249683,2.8241500796249683,0.0
case_027,4,559196,3317760,5357568,0,245760,0,1,0.7533441999985371,component_baseline,0,0,certified_gap,557280.0,0.0034381280505311196,2363952,559196,4.227412213249022,4.227412213249022,0.0
case_027,5,558753,5529600,7569408,0,69632,0,3,1.9993715999953565,component_baseline,0,0,fixed_candidate_budget,445824.0,0.2533039944013782,2363952,558753,4.230763861670542,4.230763861670542,0.0
case_028,2,20232039,118305408,124214016,3588096,516744,0,3,169.17400199999975,data_band_w2,1,0,fixed_candidate_budget,19487304.0,0.038216420290872355,43836040,23638628,2.1666644671849435,1.8544240384848054,14.411111338610683
case_028,3,13752644,118487808,124396416,1622016,516744,0,3,82.66408590000356,data_band_w2,1,0,fixed_candidate_budget,12991536.0,0.058584912515348364,43836040,16770711,3.1874627162602334,2.613845054034978,17.99605872404575
case_028,4,10332290,119014272,124922880,0,516744,0,3,74.73924889999762,data_band_w2,1,0,fixed_candidate_budget,9743652.0,0.06041246136458889,43836040,13608312,4.2426257877005,3.2212694711879033,24.07368378973086
case_028,5,8377037,95899392,101808000,0,425160,0,3,63.88746600000013,data_band_w3,1,0,fixed_candidate_budget,7794921.6,0.07467880113123915,43836040,11491035,5.232881268162,3.814803453300769,27.099369203905475
case_029,2,19740,0,430164,0,0,14340,2,0.7860921000028611,component_baseline,2,0,fixed_candidate_budget,18742.5,0.053221288515406195,37555,19740,1.9024822695035462,1.9024822695035462,0.0
case_029,3,12743,0,430164,0,0,14340,1,0.451628000002529,component_baseline,0,0,certified_gap,12495.0,0.019847939175670293,37555,12743,2.9471082162756024,2.9471082162756024,0.0
case_029,4,11028,0,430164,0,0,14340,1,0.49379709999629995,component_baseline,3,0,fixed_candidate_budget,9371.25,0.17679071628651455,37555,11028,3.405422560754443,3.405422560754443,0.0
case_029,5,9383,0,430164,0,0,14340,1,0.4759542999963742,component_baseline,3,0,fixed_candidate_budget,7497.0,0.25156729358410024,37555,9383,4.002451241607162,4.002451241607162,0.0
case_030,2,1401423,6940672,9334732,4989952,524288,132,1,27.336953500001982,component_baseline,0,0,certified_gap,1388240.0,0.009496196623062225,2808034,1401423,2.003701951516423,2.003701951516423,0.0
case_030,3,933969,9071616,11465676,5170176,524288,132,1,27.32545460000256,component_baseline,0,0,certified_gap,925493.3333333334,0.009157998616953877,2808034,933969,3.0065601749094455,3.0065601749094455,0.0
case_030,4,699591,8632320,11026380,3377152,524288,132,1,25.80133080000087,component_baseline,0,0,certified_gap,694120.0,0.007881922434161304,2808034,699591,4.0138223619228945,4.0138223619228945,0.0
case_030,5,561192,11644416,14038476,3974656,524288,132,1,27.620698799997626,component_baseline,0,0,certified_gap,555296.0,0.010617760617760652,2808034,561192,5.0036957048568045,5.0036957048568045,0.0
case_031,2,728285,6281892,8466932,3985920,524288,57536,5,30.338723200002278,valley_w2,0,0,fixed_candidate_budget,667246.0,0.0914790047448768,1414369,735345,1.9420542782015282,1.923408740115184,0.9600935615255435
case_031,3,486363,5018112,7203152,2231808,524288,57344,4,23.04927260000113,component_baseline,0,0,fixed_candidate_budget,444830.6666666667,0.09336661441207594,1414369,486363,2.9080522161430866,2.9080522161430866,0.0
case_031,4,390820,8281048,10466088,2655744,524288,57536,5,30.089713400004257,greedy_schedule,0,0,fixed_candidate_budget,333623.0,0.17144201688732497,1414369,398198,3.618978046159357,3.5519239172471986,1.852847076077735
case_031,5,303368,8737756,10922796,1413120,524288,57536,5,30.44396820000111,greedy_schedule,0,0,fixed_candidate_budget,266898.4,0.13664225787790407,1414369,308135,4.66222211966984,4.590095250458403,1.5470491829879807
case_032,2,21880,6216,299304,0,40960,55320,3,0.8153893999988213,component_baseline,1,0,fixed_candidate_budget,16997.5,0.28724812472422423,41443,21880,1.8941042047531993,1.8941042047531993,0.0
case_032,3,15402,12360,305448,0,40960,49168,1,0.4872055999949225,component_baseline,3,0,fixed_candidate_budget,11331.666666666666,0.3591998823356377,41443,15402,2.690754447474354,2.690754447474354,0.0
case_032,4,14274,12360,305448,0,40960,38924,2,0.7483799000037834,component_baseline,2,0,fixed_candidate_budget,8498.75,0.6795411089866157,41443,14274,2.9033907804399606,2.9033907804399606,0.0
case_032,5,10415,12360,305448,0,40960,36876,2,0.6304952999998932,component_baseline,2,0,fixed_candidate_budget,6799.0,0.5318429180761877,41443,10415,3.9791646663466156,3.9791646663466156,0.0
case_033,2,897883,6229536,9202446,4170240,524288,69644,4,13.728708900001948,component_baseline,0,0,fixed_candidate_budget,864054.0,0.039151488217171515,1774196,897883,1.975976825488399,1.975976825488399,0.0
case_033,3,600373,7082596,10055506,2958336,523776,65552,6,19.574457300004724,greedy_coarsen,0,0,fixed_candidate_budget,576036.0,0.04224909554263978,1774196,604202,2.9551562112220235,2.9364285454202403,0.6337284550531064
case_033,4,453882,8027268,11000178,2092544,523776,65552,6,19.395847899999353,greedy_schedule,0,0,fixed_candidate_budget,432027.0,0.05058711608302269,1774196,460454,3.908936683983943,3.853144939559652,1.4272869819786593
case_033,5,361866,8115360,11088270,1673216,523776,65552,6,19.352634200004104,greedy_schedule,0,0,fixed_candidate_budget,345621.6,0.047000534688804274,1774196,376794,4.902908811549026,4.708663089115007,3.961846526218571
case_034,2,418129,1648128,3928514,581632,524288,122898,4,12.721036700000695,component_baseline,0,0,fixed_candidate_budget,374580.0,0.1162608788509798,842996,418129,2.016114644045259,2.016114644045259,0.0
case_034,3,282515,2638336,4918722,201216,524288,122894,4,12.98111329999665,component_baseline,0,0,fixed_candidate_budget,249720.0,0.1313270863366971,842996,282515,2.9838982000955703,2.9838982000955703,0.0
