case,cores,status,no_l2_cycles,l2_cycles,no_l2_added_bytes,l2_added_bytes,cache_hit_rate,hit_bytes,miss_bytes,cache_gain,seconds,plan_sha256,error
case_007,2,ok,507494,507494,27648,27648,0.0,0,907776,1.0,1.5862569000000803,52aa1f97cf1fa06190d3174d72460f81c27f12823ae206d812d0bffcfe849811,
case_007,3,ok,338094,338094,55296,55296,0.0,0,935424,1.0,1.4088222000000314,d20378d444bc7d56eeb2e595c0b1302ce6cef4879fa599bb2bf2a04ec28c1d7a,
case_007,4,ok,254398,254398,82944,82944,0.0,0,963072,1.0,1.3652007000000594,589758759dabf6d3e6074eb11040ff599ab83dd833132e3d60ce78b9901b3e96,
case_008,1,ok,487605,487605,0,0,0.0,0,1990872,1.0,0.39874139999983527,388dce59cb076d992e377ef77e91c37acaa8782684c46bdb3666c63d856f2ea6,
case_008,2,ok,136244,136244,3538944,3538944,0.0,0,3760344,1.0,0.416228399999909,56cee2cbd32a87b69a46bcf5817f3be8fb2b7d906b79870357efa86b73eb51f9,
case_008,3,ok,110229,110229,3317760,3317760,0.0,0,3649752,1.0,0.37268889999995736,0d123d951eaabd070fce98a2694d741c5fea6baf00a17cd01f077e1c3e25c42f,
case_008,4,ok,104264,104264,3096576,3096576,0.0,0,3539160,1.0,0.35777479999978823,b0a0a5f62b6788c8f407cfe0304f7b8d94d761fbddbf0577101a28cf80ef9a15,
case_009,1,ok,153261,153261,0,0,0.0,0,495194,1.0,2.621575000000121,1c4e7c1fcb5bd356f4012f115262813f15ea53f8b2e5c226d0840682cf3e3d09,
case_009,2,ok,90813,90813,515502,515502,0.201974839713841,169734,670638,1.0,2.814292900000055,029737efc8faf42b5975c3bf97ce363370a611d0bd72d6919be5c0d540330b31,
case_009,3,ok,73832,73686,1008868,1008868,0.3319640140814464,381908,768542,1.001981380452189,3.0910877999999684,5f9975d2669fc5e0f2f1345596a4400f2f1997f6fc6f77a7dacef70454d63ab1,
case_009,4,ok,66815,66501,1027874,1027874,0.35324112338702873,418838,766862,1.0047217335077667,3.057706199999757,c244027e9f2d083a6e1b257a53d010345af5264a51ca560938d3c33a996b9187,
case_010,1,ok,86969,86969,0,0,0.0,0,384078,1.0,0.1750000000001819,c2c12cc98c307bce97233ef0fe7277d4091e24897997266f1fc1ef65daa9a013,
case_010,2,ok,45295,45251,943420,943420,0.10976671040018376,99392,806092,1.0009723542021172,0.2709734000000026,7aa65af18c35515a30ebd6acd3a321d578842e159f2df7643e35e07cf88891fb,
case_010,3,ok,34803,34803,341144,341144,0.21153083434099154,131202,489048,1.0,0.2636574000002838,05ad8ceab4cb3d1e017c6bed13b5a47d80b1faf3f0ad7cdccf3b2b947e2b1264,
case_010,4,ok,25173,25010,365144,365144,0.2325116935866765,151812,501110,1.0065173930427829,0.2840016000000105,8a290d3683a0620748678942ff9186aebeaeb49c85cfee77f668f1f63bf04aa0,
case_011,1,ok,184697,184697,0,0,0.0,0,540672,1.0,0.2202620999996725,9f03af9aaa2c6644b88a89f3009569f44fd5b0e76c61b42ce8a15ef47cdcd7a6,
case_011,2,ok,92646,92646,180224,180224,0.0,0,720896,1.0,0.21932379999998375,dd85bbfff3f3136169313b512d6335441de960542e153517eb9de9743d101fa3,
case_011,3,ok,87128,87128,2998272,2998272,0.4158730158730159,1073152,1507328,1.0,0.409037900000385,fd668ccbb25d98a980d58e16e8c5f87c1d1a0e32caa6e08aac0622084923014d,
case_011,4,ok,46880,46880,540672,540672,0.0,0,1081344,1.0,0.2535232999998698,de8fa7c3d5a69aff0fc399972935ca452d9dd4ee376ec7d1effa8f7ed70c5a90,
case_012,1,ok,59088,59088,0,0,0.0,0,484096,1.0,0.3179761999999755,cfe331bb6d824d1889ea34b91b430446bca01d30b6196f18885c3fe4d9c0f151,
case_012,2,ok,27573,27573,28800,28800,0.0561517344646868,28800,484096,1.0,0.342685199999778,9f7e583b55184e301f9cc0f8936fc8665f845933ea0b087608ad4176ef78c58d,
case_012,3,ok,21818,21115,329190,329190,0.209226238271904,153734,581040,1.0332938669192517,0.3849732999997286,287b2ee0db1e2c66f28bc5055d01b4b4f09547ccfec3213e9890a7f1ca322c5c,
case_012,4,ok,14970,14970,39168,39168,0.06311154598825831,33024,490240,1.0,0.3538047999995797,ecd23d9d4af2603ba63d9ace669f71044c905341a070ff5a057d8ebf63a42ff1,
case_013,1,ok,263949,263949,0,0,0.0,0,2023424,1.0,0.9554721999998037,61a367950ca89631ecf9d3c7719455ea782108f95748289a6f43188b4b7d4d45,
case_013,2,ok,132198,132198,8192,8192,0.0,0,2031616,1.0,0.8429942000002484,1e53c296a600aed044668be3fc7f55cdf3f477a31b4e9f9de4c4e1098b54912a,
case_013,3,ok,88351,88351,16384,16384,0.0,0,2039808,1.0,0.8410109000001285,55efd77e51de13a1a870aa20893a094fe82ccfa4f7d781aac417ade89b306ac9,
case_013,4,ok,66982,66982,24576,24576,0.0,0,2048000,1.0,0.8000025000001187,78ac79ccf69c9fae54d00e8815aa03504db9cadebcf71f6b0c1dbf8212c55870,
case_014,1,ok,17698626,17689602,71010720,71010720,0.12291025483195864,9944064,70961016,1.0005101301883446,26.06617329999972,99ea93ac8f7de1554577a471fb2d47189411f99ec988cae53f17af9238f4fb6d,
case_014,2,ok,8839450,8839065,42981816,42981816,0.1910509307616428,10105344,42788112,1.0000435566431518,32.50193080000008,8a2d9019559f057a7b44c42f6bf222c7993502180cee801fdb3490a36b0ccb16,
case_014,3,ok,5873336,5873043,39776424,39776424,0.18331323997650623,9108480,40579584,1.0000498889587561,28.59311880000041,c683bbad45716d34cfe34c7dd36c5a68436b551ceede52aaeb8d5f593048d6a2,
case_014,4,ok,4547786,4542665,34288056,34288056,0.4470416267116407,19759104,24440592,1.001127311831271,29.62788159999991,db48921d14db4a440ecc1d52d20d34f6cf41c17138d273939103cf0dd6be5733,
case_015,1,ok,177362,177362,180256,180256,0.1692685978123867,180224,884498,1.0,0.29841739999983474,00e3de2c2bb37567ed66714d82da30c44de3ee8ca7e60ebe1ca35fa4b6cfe4bd,
case_015,2,ok,87285,87285,109824,109824,0.11045291892033238,109824,884482,1.0,0.31727860000000874,d5d1c54d76c731695a4d168d1fe414302db9c73481c32646f15739dd96712aae,
case_015,3,ok,61834,61653,208128,208128,0.16049642598914526,175360,917250,1.002935785768738,0.3051180000002205,d1e75452f88c6736828e18de53ccc9f62a1887d0415888300e804a2b722876ff,
case_015,4,ok,62179,61308,673712,673712,0.43230948343694203,673584,884522,1.0142069550466497,0.3486678999997821,37a14b331060cfe191e931c49fd815b92116cb3255a8e9b67cf3080c5942b814,
case_016,1,ok,7715523,7715523,0,0,0.0,0,393216,1.0,17.082001199999922,0b67b70e5e94fc362d17aead571cda3757b55a59d7d203e809eecc1fd38ad967,
