case,cores,strategy,status,makespan_cycles,added_copy_bytes,scheduled_copy_bytes,subgraphs,wall_seconds,error
case_083,5,band_6,ok,283788,10546560,11984864,105,0.848,
case_083,5,band_12,ok,253714,7118208,8556512,55,0.663,
case_083,5,band_24,ok,351695,11884928,13323232,30,0.659,
case_083,5,mask_stage_16,ok,619716,30546752,31985056,248,1.038,
case_083,5,mask_band_32,ok,580002,29435712,30874016,124,0.882,
case_085,5,band_6,ok,1480979,20887362,22577096,351,9.849,
case_085,5,band_12,ok,1554567,16123514,17813248,166,7.492,
case_085,5,band_24,ok,2044615,11342322,13032056,67,6.678,
case_085,5,mask_stage_16,ok,1588432,15027976,16717710,169,7.431,
case_085,5,mask_band_32,ok,2417426,7896978,9586712,70,7.274,
case_086,5,band_6,ok,88795,2999340,3337362,107,1.603,
case_086,5,band_12,ok,82545,2284202,2622224,52,1.364,
case_086,5,band_24,ok,89911,1032426,1370448,22,1.396,
case_086,5,mask_stage_16,ok,69777,2137270,2475292,73,1.3,
case_086,5,mask_band_32,ok,88504,1226582,1564604,38,1.237,
case_090,5,band_6,ok,318530,9896832,12125184,105,0.428,
case_090,5,band_12,ok,425702,14557440,16785792,55,0.301,
case_090,5,band_24,ok,497089,18176928,20405280,30,0.284,
case_090,5,mask_stage_16,ok,567122,26206080,28434432,117,0.402,
case_090,5,mask_band_32,ok,553043,26021376,28249728,52,0.339,
case_092,5,band_6,ok,1003562,34984320,38241248,105,5.306,
case_092,5,band_12,ok,908533,19280256,22537184,55,4.891,
case_092,5,band_24,ok,1433196,46733696,49990624,30,5.918,
case_092,5,mask_stage_16,ok,2774559,143255264,146512192,1136,12.482,
case_092,5,mask_band_32,ok,2663705,138165984,141422912,568,8.195,
case_094,5,band_6,ok,37554,1064296,1590988,29,0.16,
case_094,5,band_12,ok,31536,590980,1117672,15,0.137,
case_094,5,band_24,ok,27049,418948,945640,10,0.135,
case_094,5,mask_stage_16,ok,32801,958376,1485068,51,0.129,
case_094,5,mask_band_32,ok,30902,688036,1214728,41,0.11,
case_096,5,band_6,ok,42818,1248016,1467574,47,0.276,
case_096,5,band_12,ok,41402,849116,1068674,23,0.256,
case_096,5,band_24,ok,33190,480452,700010,13,0.256,
case_096,5,mask_stage_16,ok,40650,1032528,1252086,73,0.233,
case_096,5,mask_band_32,ok,33572,737612,957170,59,0.225,
case_098,5,band_6,ok,94336,3306148,4004142,33,0.328,
case_098,5,band_12,ok,89060,1155244,1853238,18,0.284,
case_098,5,band_24,ok,88081,385064,1083058,11,0.288,
case_098,5,mask_stage_16,ok,107891,1368288,2066282,69,0.265,
case_098,5,mask_band_32,ok,107528,463032,1161026,53,0.249,
case_100,5,band_6,ok,75754,2398660,2853258,32,0.344,
case_100,5,band_12,ok,63876,1004492,1459090,17,0.32,
case_100,5,band_24,ok,60909,628408,1083006,11,0.365,
case_100,5,mask_stage_16,ok,65251,1483848,1938446,121,0.339,
case_100,5,mask_band_32,ok,65361,619416,1074014,103,0.318,
