case,cores,returncode,makespan_cycles,cache_hit_rate,process_wall_s
case_080,4,0,78988,0.4484808454425363,11.567908599987277
case_081,1,0,151795,0.0,11.852459800007637
case_081,2,0,76860,0.0,18.091049499998917
case_081,3,0,51943,0.0,25.260223900011624
case_081,4,0,39588,0.0,25.104751699996996
case_082,1,0,667395,1.2180149279909574e-05,30.171656899998197
case_082,2,0,363831,0.1339283784192755,26.663994000002276
case_082,3,0,243315,0.3518425375119283,29.61162989999866
case_082,4,0,200364,0.32712691771269176,25.88352119999763
case_083,1,0,835352,0.0,28.156574799999362
case_083,2,0,412089,0.38137175266840523,32.1348011999944
case_083,3,0,284243,0.18935042619532585,30.192662899993593
case_083,4,0,210963,0.7018738529894717,30.77931610000087
case_084,1,0,1371156,0.0,59.246422399999574
case_084,2,0,686924,0.0,115.54701150000619
case_084,3,0,458172,0.0,130.8036534999992
case_084,4,0,384788,0.0,117.46343269999488
case_085,1,0,3184392,0.2158691726040447,198.65801949999877
case_085,2,0,1660634,0.1129502236944286,181.60214260000794
case_085,3,0,1126373,0.3915372286538827,183.614871400001
case_085,4,0,835476,0.31017976599251595,183.9457362999965
case_086,1,0,104652,1.679148335963999e-05,46.48567630001344
case_086,2,0,60966,0.15737723953744118,44.33671150000009
case_086,3,0,46467,0.43602642305635886,42.14797740000358
case_086,4,0,34728,0.29648655039423366,40.96199219999835
case_087,1,0,3967587,0.18319726059954888,186.32766830000037
case_087,2,0,1983266,0.20985984468059818,191.47373829998833
case_087,3,0,1356517,0.3851504422851614,181.85940539999865
case_087,4,0,1021202,0.493625108353013,196.5812705000135
case_088,1,0,223964,0.012247818513041086,15.221664900003816
case_088,2,0,135313,0.18078630320797973,21.22752670000773
case_088,3,0,95879,0.3074813000078188,20.20984789999784
case_088,4,0,81446,0.2549322668360313,23.327324199999566
case_089,1,0,595298,0.0,23.457064799993532
case_089,2,0,295856,0.0,35.74646879998909
case_089,3,0,205090,0.32223884318125157,49.817718899998
case_089,4,0,148856,0.0,33.54590019999887
case_090,1,0,842323,0.0,5.28649770001357
case_090,2,0,451762,0.40807117925153535,10.965497900004266
case_090,3,0,318063,0.4777918804670521,12.14913420000812
case_090,4,0,246034,0.3828912571764387,11.727784699993208
case_091,1,0,9163162,0.09818631053175288,194.49126999999862
case_091,2,0,4568939,0.21055694617012666,194.51946060000046
case_091,3,0,3047058,0.1919767885422326,209.6784947999986
case_091,4,0,2296610,0.31423822853032607,223.76160719999461
case_092,1,0,4007801,0.0,185.27209089999087
case_092,2,0,2010779,0.07127447388773558,183.63150460000907
case_092,3,0,1348359,0.1288781123527769,196.02124550000008
case_092,4,0,976594,0.28093406274767546,184.43335710000247
case_093,1,0,74205,0.0,0.413869900003192
case_093,2,0,37827,0.0,1.5851496999966912
case_093,3,0,25103,0.0,2.4198378000000957
