case,scene,cores,speedup,makespan_cycles,added_copy_bytes,spill_added_copy_bytes,other_added_copy_bytes
case_006,B,4,3.369275197266737,24586,637248,0,637248
case_006,B,5,3.758655111393439,22039,483828,0,483828
case_007,B,2,1.9952196479170197,507494,27648,0,27648
case_007,B,3,2.994912657426633,338094,55296,0,55296
case_007,B,4,3.980227831979811,254398,82944,0,82944
case_007,B,5,4.967581463347626,203834,110592,0,110592
case_008,B,2,1.9962049568912579,244266,0,0,0
case_008,B,3,2.984867684057811,163359,0,0,0
case_008,B,4,3.962335446123842,123060,0,0,0
case_008,B,5,4.846823653370178,100603,0,0,0
case_009,B,2,1.6876548511776948,90813,515502,0,515502
case_009,B,3,2.0758072380539603,73832,1008868,0,1008868
case_009,B,4,2.293811269924418,66815,1027874,0,1027874
case_009,B,5,2.503651065915217,61215,1109614,0,1109614
case_010,B,2,1.9242632091335516,45196,206328,0,206328
case_010,B,3,2.4988937735252708,34803,341144,0,341144
case_010,B,4,3.4548524212449845,25173,365144,0,365144
case_010,B,5,3.6829423223511477,23614,418324,0,418324
case_011,B,2,1.9935777043801135,92646,180224,0,180224
case_011,B,3,2.6527396768402154,69625,1081344,0,1081344
case_011,B,4,3.9397824232081913,46880,540672,0,540672
case_011,B,5,3.905872649988369,47287,1622016,0,1622016
case_012,B,2,1.9634478633614674,30094,28800,0,28800
case_012,B,3,2.6988215949575225,21894,20160,0,20160
case_012,B,4,3.42817359016013,17236,39168,0,39168
case_012,B,5,4.132027972027972,14300,49536,0,49536
case_013,B,2,1.9966187083011846,132198,8192,0,8192
case_013,B,3,2.98750438591527,88351,16384,0,16384
case_013,B,4,3.9405959810098237,66982,24576,0,24576
case_013,B,5,4.855305998565201,54363,32768,0,32768
case_014,B,2,1.990404605321608,8891974,71575992,61682784,9893208
case_014,B,3,2.9593236968935726,5980632,77640360,59581944,18058416
case_014,B,4,3.9098642266041628,4526660,82469784,52790160,29679624
case_014,B,5,4.790351969339367,3694640,87765000,55180632,32584368
case_015,B,2,1.9192736795403145,92411,224536,114712,109824
case_015,B,3,2.916802341835644,60807,306448,98320,208128
case_015,B,4,3.320080118305535,53421,263936,32768,231168
case_015,B,5,4.083200957708866,43437,321536,8192,313344
case_016,B,2,1.6165987350108084,4772689,119946716,119936960,9756
case_016,B,3,2.6750015428321405,2884306,4872,0,4872
case_016,B,4,3.217596536991511,2397915,17068,0,17068
case_016,B,5,3.22415937257891,2393034,19504,0,19504
case_017,B,2,1.8568658759124088,87680,87552,0,87552
case_017,B,3,2.7793236484064257,58579,175104,0,175104
case_017,B,4,3.841308040770102,42384,259200,0,259200
case_017,B,5,4.586713995943205,35496,340992,0,340992
case_018,B,2,1.9874720242842074,505349,3044352,1597440,1446912
case_018,B,3,2.969110656513102,338272,3867008,1392640,2474368
case_018,B,4,3.89088958017766,258133,4853504,1204224,3649280
case_018,B,5,4.926627915532338,203865,5693440,1064960,4628480
case_019,B,2,1.8772903942254304,43224,27168,0,27168
