case,cores,singlecore_cycles,q1_cycles,q2_cycles,q3_cycles,q1_speedup,q2_speedup,q3_speedup,q3_cache_hit_rate,q3_cache_hit_bytes
case_010,1,86969.0,,86969.0,86969.0,,1.0,1.0,0.0,0
case_010,2,86969.0,45272.0,45272.0,45272.0,1.9210328679978794,1.9210328679978794,1.0,0.11188035018105637,48384
case_010,3,86969.0,30856.0,30856.0,30856.0,2.8185442053409386,2.8185442053409386,1.0,0.11188035018105637,48384
case_010,4,86969.0,29856.0,29856.0,29856.0,2.9129488210075025,2.9129488210075025,1.0,0.12218464955515904,58752
case_010,5,86969.0,31015.0,31015.0,30689.0,2.8040947928421733,2.8040947928421733,1.0106226986868259,0.14366532509494925,76032
case_011,1,184697.0,,184697.0,184697.0,,1.0,1.0,0.0,0
case_011,2,184697.0,92646.0,92646.0,92646.0,1.9935777043801135,1.9935777043801135,1.0,0.0,0
case_011,3,184697.0,69625.0,69625.0,69625.0,2.6527396768402154,2.6527396768402154,1.0,0.5669191919191919,919552
case_011,4,184697.0,46880.0,46880.0,46880.0,3.9397824232081913,3.9397824232081913,1.0,0.0,0
case_011,5,184697.0,47287.0,47287.0,46777.0,3.905872649988369,3.905872649988369,1.0109027941082156,0.6231060606060606,1347584
case_012,1,59088.0,,59088.0,59088.0,,1.0,1.0,0.0,0
case_012,2,59088.0,30094.0,30094.0,30094.0,1.9634478633614674,1.9634478633614674,1.0,0.0561517344646868,28800
case_012,3,59088.0,21894.0,21894.0,21894.0,2.6988215949575225,2.6988215949575225,1.0,0.03997969285442315,20160
case_012,4,59088.0,17236.0,17236.0,17236.0,3.42817359016013,3.42817359016013,1.0,0.074853228962818,39168
case_012,5,59088.0,14300.0,14300.0,14300.0,4.132027972027972,4.132027972027972,1.0,0.07483809066922524,39936
case_013,1,263949.0,,263949.0,263949.0,,1.0,1.0,0.0,0
case_013,2,263949.0,132198.0,132198.0,132198.0,1.9966187083011846,1.9966187083011846,1.0,0.0,0
case_013,3,263949.0,88351.0,88351.0,88351.0,2.98750438591527,2.98750438591527,1.0,0.0,0
case_013,4,263949.0,66982.0,66982.0,66982.0,3.9405959810098237,3.9405959810098237,1.0,0.0,0
case_013,5,263949.0,54363.0,54363.0,54363.0,4.855305998565201,4.855305998565201,1.0,0.0,0
case_014,1,17698626.0,,17698626.0,17689602.0,,1.0,1.0005101301883446,0.12291025483195864,9944064
case_014,2,17698626.0,8891974.0,8891974.0,8884664.0,1.990404605321608,1.990404605321608,1.0008227660607087,0.22691011563570776,18490368
case_014,3,17698626.0,5980632.0,5980632.0,5942997.0,2.9593236968935726,2.9593236968935726,1.00633266346929,0.2837705592105263,24844680
case_014,4,17698626.0,4526660.0,4526660.0,4502666.0,3.9098642266041628,3.9098642266041628,1.005328842956595,0.2783250450869863,25712064
case_014,5,17698626.0,3694640.0,3694640.0,3683390.0,4.790351969339367,4.790351969339367,1.003054251654047,0.26148123031259063,25540608
case_015,1,177362.0,,177362.0,177362.0,,1.0,1.0,0.1692685978123867,180224
case_015,2,177362.0,92411.0,92411.0,92411.0,1.9192736795403145,1.9192736795403145,1.0,0.20244435106753256,224512
case_015,3,177362.0,60807.0,60807.0,60807.0,2.916802341835644,2.916802341835644,1.0,0.25730652385294756,306432
case_015,4,177362.0,53421.0,53421.0,53395.0,3.320080118305535,3.320080118305535,1.0004869369791178,0.2012925607226637,231168
case_015,5,177362.0,43437.0,43437.0,43437.0,4.083200957708866,4.083200957708866,1.0,0.266609619425249,321536
case_016,1,7715523.0,,7715523.0,7715523.0,,1.0,1.0,0.0,0
case_016,2,7715523.0,7715523.0,7715523.0,7715523.0,1.0,1.0,1.0,0.0,0
