case,cores,q1_speedup,q2_speedup,q1_cycles,q2_cycles,q1_extra_bytes,q2_extra_bytes
case_022,3,2.968423253868674,2.968423253868674,19128,19128,13824,13824
case_022,4,3.874709976798144,3.874709976798144,14654,14654,13824,13824
case_022,5,4.800473452823808,4.800473452823808,11828,11828,20736,20736
case_023,2,2.0026132261910594,2.0026132261910594,61227,61227,84384,84384
case_023,3,2.943065623349815,2.943065623349815,41662,41662,196896,196896
case_023,4,3.890161489894984,3.890161489894984,31519,31519,281280,281280
case_023,5,4.867373268230717,4.867373268230717,25191,25191,280992,280992
case_024,2,1.6959663321205427,1.6138807960069548,1506718,1583353,39327048,39720044
case_024,3,1.3319185444371067,2.6732493351773314,1918543,955894,38931176,1608
case_024,4,1.3876926285126856,3.2073328237433776,1841433,796719,38931274,5644
case_024,5,1.3892694293560255,3.2138555807934077,1839343,795102,38931372,6448
case_025,2,1.9997310678334101,1.9997310678334101,2431840,2431840,27648,27648
case_025,3,2.9978633479722148,2.9978633479722148,1622164,1622164,55296,55296
case_025,4,3.9944555971362954,3.9944555971362954,1217444,1217444,82944,82944
case_025,5,4.986276789687495,4.986276789687495,975282,975282,110592,110592
case_026,2,1.707100082599119,1.707100082599119,58112,58112,288,288
case_026,3,2.3815388308726444,2.3815388308726444,41655,41655,95664,95664
case_026,4,2.3493345332259743,2.3493345332259743,42226,42226,170832,170832
case_026,5,2.2487872330779344,2.2487872330779344,44114,44114,211680,211680
case_027,2,2.10886006840553,2.10886006840553,1120962,1120962,1744896,1744896
case_027,3,2.6920296539236785,2.8241500796249683,878130,837049,15302656,3686400
case_027,4,4.227412213249022,4.227412213249022,559196,559196,3317760,3317760
case_027,5,3.702375582619155,4.230763861670542,638496,558753,22044672,5529600
case_028,2,1.8544240384848054,2.1277264746915767,23638628,20602291,277473600,41688192
case_028,3,2.613845054034978,3.227301312726213,16770711,13582878,277369056,27152640
case_028,4,3.462812128552399,4.237834773512029,12659087,10343971,371649024,23009664
case_028,5,3.814803453300769,5.317997418403098,11491035,8242960,277818912,21778944
case_029,2,1.9024822695035462,1.9024822695035462,19740,19740,0,0
case_029,3,2.9471082162756024,2.9471082162756024,12743,12743,0,0
case_029,4,3.405422560754443,3.405422560754443,11028,11028,0,0
case_029,5,4.002451241607162,4.002451241607162,9383,9383,0,0
case_030,2,2.003701951516423,2.003701951516423,1401423,1401423,6940672,6940672
case_030,3,3.0065601749094455,3.0065601749094455,933969,933969,9071616,9071616
case_030,4,4.0138223619228945,3.9624838602705124,699591,708655,8632320,6354536
case_030,5,5.0036957048568045,5.0036957048568045,561192,561192,11644416,11644416
case_031,2,1.923408740115184,1.923408740115184,735345,735345,5564928,5564928
case_031,3,2.9080522161430866,2.9080522161430866,486363,486363,5018112,5018112
case_031,4,3.5519239172471986,3.5519239172471986,398198,398198,7971840,7971840
case_031,5,4.590095250458403,4.590095250458403,308135,308135,8217600,8217600
case_032,2,1.8941042047531993,1.8941042047531993,21880,21880,6216,6216
