case,cores,strategy,active_cores,band_width,data_aware,status,makespan_cycles,added_copy_bytes,partition_added_copy_bytes,spill_added_copy_bytes,peak_l1_bytes,peak_ub_bytes,wall_seconds,error
case_008,5,band_w4_k5,5,4,0,ok,97488,2875392,0,2875392,30720,129216,0.269,
case_008,5,band_w8_k5,5,8,0,duplicate,,,,,,,0.007,
case_008,5,band_w12_k5,5,12,0,duplicate,,,,,,,0.006,
case_009,5,band_w4_k2,2,4,0,ok,88429,740494,732878,7616,36992,127052,2.034,
case_009,5,band_w8_k2,2,8,0,ok,89793,391438,391438,0,39840,111410,1.913,
case_009,5,band_w12_k2,2,12,0,ok,93609,371630,371630,0,42656,102336,1.779,
case_009,5,band_w4_k3,3,4,0,ok,73295,1185252,1185252,0,32224,115436,2.095,
case_009,5,band_w8_k3,3,8,0,ok,70920,618700,618700,0,39712,78222,1.857,
case_009,5,band_w12_k3,3,12,0,ok,74470,569682,569682,0,41824,59664,1.729,
case_009,5,band_w4_k4,4,4,0,ok,69014,1317674,1317674,0,30976,72116,1.911,
case_009,5,band_w8_k4,4,8,0,ok,64259,747262,747262,0,36992,72776,1.686,
case_009,5,band_w12_k4,4,12,0,ok,67315,672118,672118,0,38656,55852,1.923,
case_009,5,band_w4_k5,5,4,0,ok,68820,1538614,1538614,0,30464,39534,1.969,
case_009,5,band_w8_k5,5,8,0,ok,53909,861326,861326,0,32800,47114,1.742,
case_009,5,band_w12_k5,5,12,0,ok,58803,765594,765594,0,35360,53256,1.71,
case_010,5,band_w4_k2,2,4,0,ok,49327,580496,480656,99840,142336,131072,0.17,
case_010,5,band_w8_k2,2,8,0,ok,53927,69560,69560,0,253312,51984,0.132,
case_010,5,band_w12_k2,2,12,0,ok,45249,253824,52608,201216,230528,131072,0.138,
case_010,5,band_w4_k3,3,4,0,ok,36485,742424,644120,98304,103552,114690,0.181,
case_010,5,band_w8_k3,3,8,0,ok,40863,137520,137520,0,228736,43018,0.15,
case_010,5,band_w12_k3,3,12,0,ok,31413,272776,76168,196608,229376,131072,0.138,
case_010,5,band_w4_k4,4,4,0,ok,33357,852732,754428,98304,67584,114690,0.178,
case_010,5,band_w8_k4,4,8,0,ok,35871,181572,181572,0,215680,38912,0.166,
case_010,5,band_w12_k4,4,12,0,ok,31874,327952,131344,196608,229376,131072,0.152,
case_010,5,band_w4_k5,5,4,0,ok,31502,887476,787636,99840,83712,114690,0.206,
case_010,5,band_w8_k5,5,8,0,ok,32455,220612,220612,0,212992,36866,0.15,
case_010,5,band_w12_k5,5,12,0,ok,32958,373644,177036,196608,229376,131072,0.123,
case_011,5,band_w4_k2,2,4,0,ok,101223,1212416,1212416,0,468992,0,0.197,
case_011,5,band_w8_k2,2,8,0,ok,98187,983040,983040,0,376832,0,0.197,
case_011,5,band_w12_k2,2,12,0,ok,95483,753664,753664,0,331776,0,0.173,
case_011,5,band_w4_k3,3,4,0,ok,71518,1830912,1830912,0,315392,0,0.216,
case_011,5,band_w8_k3,3,8,0,ok,67190,2330624,2330624,0,192512,0,0.232,
case_011,5,band_w12_k3,3,12,0,ok,63552,1978368,1978368,0,180224,0,0.204,
case_011,5,band_w4_k4,4,4,0,ok,57538,2015232,2015232,0,198656,0,0.287,
case_011,5,band_w8_k4,4,8,0,ok,52587,1687552,1687552,0,161792,0,0.237,
case_011,5,band_w12_k4,4,12,0,ok,49668,1359872,1359872,0,139264,0,0.189,
case_011,5,band_w4_k5,5,4,0,ok,68960,3465216,3465216,0,94208,0,0.364,
case_011,5,band_w8_k5,5,8,0,ok,61138,2998272,2998272,0,94208,0,0.33,
case_011,5,band_w12_k5,5,12,0,ok,45978,2101248,2101248,0,102400,0,0.267,
case_012,5,band_w4_k2,2,4,0,ok,29291,340804,340804,0,33984,82472,0.287,
case_012,5,band_w8_k2,2,8,0,ok,30815,115444,115444,0,29248,73744,0.237,
case_012,5,band_w12_k2,2,12,0,ok,30715,104592,104592,0,28224,59410,0.237,
case_012,5,band_w4_k3,3,4,0,ok,22124,419504,419504,0,42176,72228,0.3,
case_012,5,band_w8_k3,3,8,0,ok,20332,191960,191960,0,30272,49160,0.242,
case_012,5,band_w12_k3,3,12,0,ok,23535,149224,149224,0,28224,51218,0.247,
case_012,5,band_w4_k4,4,4,0,ok,22277,484768,484768,0,31680,69150,0.288,
case_012,5,band_w8_k4,4,8,0,ok,16920,217580,217580,0,29248,40972,0.238,
case_012,5,band_w12_k4,4,12,0,ok,16548,172336,172336,0,28224,30728,0.243,
case_012,5,band_w4_k5,5,4,0,ok,22131,598264,598264,0,29952,51204,0.305,
case_012,5,band_w8_k5,5,8,0,ok,15816,224736,224736,0,28224,32786,0.242,
case_012,5,band_w12_k5,5,12,0,ok,14553,176868,176868,0,28224,30728,0.231,
case_013,5,band_w4_k2,2,4,0,ok,132198,8192,8192,0,20480,0,0.572,
case_013,5,band_w8_k2,2,8,0,duplicate,,,,,,,0.01,
case_013,5,band_w12_k2,2,12,0,duplicate,,,,,,,0.016,
case_013,5,band_w4_k3,3,4,0,ok,88351,16384,16384,0,20480,0,0.641,
case_013,5,band_w8_k3,3,8,0,duplicate,,,,,,,0.014,
case_013,5,band_w12_k3,3,12,0,duplicate,,,,,,,0.025,
case_013,5,band_w4_k4,4,4,0,ok,66982,24576,24576,0,20480,0,0.549,
case_013,5,band_w8_k4,4,8,0,duplicate,,,,,,,0.017,
case_013,5,band_w12_k4,4,12,0,duplicate,,,,,,,0.012,
case_013,5,band_w4_k5,5,4,0,duplicate,,,,,,,0.01,
case_013,5,band_w8_k5,5,8,0,duplicate,,,,,,,0.009,
case_013,5,band_w12_k5,5,12,0,duplicate,,,,,,,0.011,
case_014,5,band_w4_k2,2,4,0,ok,9382469,114738192,41472768,73265424,523776,4678,30.762,
