case,cores,singlecore_cycles,q1_makespan_cycles,q1_added_copy_bytes,q1_speedup,q2_makespan_cycles,q2_added_copy_bytes,q2_speedup
case_036,4,931510.0,233584,3456,3.987901568600589,233584,3456,3.987901568600589
case_036,5,931510.0,187182,4608,4.976493466252097,187182,4608,4.976493466252097
case_037,2,210001.0,105374,204800,1.992910964754114,105374,204800,1.992910964754114
case_037,3,210001.0,74038,1064960,2.836394824279424,74038,1064960,2.836394824279424
case_037,4,210001.0,53320,614400,3.938503375843961,54976,532480,3.8198668509895226
case_037,5,210001.0,43800,1925120,4.794543378995434,44890,655360,4.678124303853865
case_038,2,1364555.0,683459,6094848,1.996542587046187,683459,6094848,1.996542587046187
case_038,3,1364555.0,462076,7942656,2.9530964603225445,462076,7942656,2.9530964603225445
case_038,4,1364555.0,346382,8761344,3.9394512416926974,348315,8252564,3.91758896401246
case_038,5,1364555.0,280919,9070080,4.857467811006019,291895,9579520,4.6748145737337055
case_039,2,1435262.0,708561,11067392,2.025601183243221,712650,8159232,2.0139788114782853
case_039,3,1435262.0,485565,14323712,2.9558596686334475,568523,15192064,2.524545181109647
case_039,4,1435262.0,395323,17604608,3.6306058590064327,367778,12492800,3.902522717508932
case_039,5,1435262.0,431161,20480000,3.3288307615948565,431161,20480000,3.3288307615948565
case_040,2,253454.0,144027,12288,1.7597672658598735,144027,12288,1.7597672658598735
case_040,3,253454.0,110105,0,2.301929975932065,110105,0,2.301929975932065
case_040,4,253454.0,110202,53760,2.2999038129979494,110202,53760,2.2999038129979494
case_040,5,253454.0,110337,66048,2.2970898248094476,110337,66048,2.2970898248094476
case_041,2,6003957.0,3002984,30557184,1.9993303327623457,3043073,23538096,1.9729914464753229
case_041,3,6003957.0,1998385,34762752,3.0044045566795186,1998711,34737276,3.0039145229100157
case_041,4,6003957.0,1501288,34759680,3.999204016817559,1528894,24485928,3.9269936306898976
case_041,5,6003957.0,1213259,38200320,4.948619379703756,1208717,39054488,4.967214823651855
case_042,2,1686740.0,849537,6469920,1.9854815034542346,849537,6469920,1.9854815034542346
case_042,3,1686740.0,567781,8368416,2.97075809158813,567781,8368416,2.97075809158813
case_042,4,1686740.0,444517,8168736,3.7945455404405233,444517,8168736,3.7945455404405233
case_042,5,1686740.0,362266,10073088,4.656081442917635,362266,10073088,4.656081442917635
case_043,2,677656.0,353177,385024,1.918743293023045,353177,385024,1.918743293023045
case_043,3,677656.0,268777,279560,2.521257399256633,268777,279560,2.521257399256633
case_043,4,677656.0,234320,6799890,2.892010925230454,269194,648200,2.517351798331315
case_043,5,677656.0,215618,6880736,3.142854492667588,269612,1155080,2.5134489562779105
case_044,2,154407.0,131105,4672992,1.1777354029213225,47521,930400,3.2492371793522863
case_044,3,154407.0,131105,4672992,1.1777354029213225,55668,1860800,2.7737120068980383
case_044,4,154407.0,131105,4672992,1.1777354029213225,68165,2791200,2.265194748037849
case_044,5,154407.0,131105,4672992,1.1777354029213225,83237,3721600,1.855028412845249
case_045,2,125614.0,63059,0,1.99200748505368,63059,0,1.99200748505368
case_045,3,125614.0,42601,0,2.94861622966597,42601,0,2.94861622966597
case_045,4,125614.0,31878,0,3.940460505677897,31878,0,3.940460505677897
case_045,5,125614.0,26164,0,4.801024308209754,26164,0,4.801024308209754
case_046,2,276455.0,166578,3521632,1.6596129140702853,112356,930400,2.460527252661184
case_046,3,276455.0,142176,4021280,1.9444561670042764,84540,1860800,3.2701088242252188
case_046,4,276455.0,124612,4513952,2.218526305652746,80168,2791200,3.4484457638958186
case_046,5,276455.0,124612,4513952,2.218526305652746,95335,3721600,2.8998269261026905
case_047,2,326508.0,202068,1097622,1.615832294079221,176096,494022,1.854147737597674
case_047,3,326508.0,154800,1594560,2.10922480620155,128024,1353740,2.550365556458164
case_047,4,326508.0,121162,1482538,2.694805301992374,104175,1170770,3.134226061915047
case_047,5,326508.0,120081,2257428,2.7190646313738225,94756,2385816,3.4457765207480264
case_048,2,222220.0,137113,805802,1.620707008088219,148681,424582,1.4946092641292432
case_048,3,222220.0,121992,723464,1.8215948586792576,130128,638220,1.707703184556744
case_048,4,222220.0,111891,925012,1.9860399853428783,126825,415310,1.7521781983047506
case_048,5,222220.0,112716,717046,1.9715036019731005,127339,415760,1.7451055843064576
case_049,2,196276.0,140221,1426960,1.3997618045799132,132212,795798,1.4845551084621669
case_049,3,196276.0,121414,788740,1.6165845783847004,115750,1226378,1.6956889848812096
case_049,4,196276.0,101091,846224,1.9415773906678142,102275,1531118,1.9191004644341236
case_049,5,196276.0,110442,1570238,1.777186215389073,97747,1726740,2.008000245531832
case_050,2,149690.0,84117,720726,1.779545157340371,75386,597958,1.9856472023983234
case_050,3,149690.0,74118,1257138,2.0196173669014272,60423,919320,2.4773678897108717
