returncode,process_wall_s,case,cores,makespan_cycles,initial_cycles,singlecore_cycles,speedup,component_baseline_cycles,baseline_speedup,selected,evaluations,added_copy_bytes
0,0.7605795999988914,case_008,3,163359,163359,487605,2.984867684057811,163359,2.984867684057811,component_baseline,2,0
0,0.7540208999998868,case_008,4,123060,123060,487605,3.962335446123842,123060,3.962335446123842,component_baseline,2,0
0,0.7545875999931013,case_008,5,100603,100603,487605,4.846823653370178,100603,4.846823653370178,component_baseline,2,0
0,9.378162599998177,case_009,2,92198,92198,153261,1.66230286991041,92198,1.66230286991041,component_baseline,3,0
0,16.471533500000078,case_009,3,90026,90133,153261,1.7024081931886343,92207,1.6621406183912284,greedy_schedule,5,1283338
0,5.350086800004647,case_009,4,64868,67768,153261,2.3626595547881855,92216,1.6619783985425522,greedy_schedule,3,918968
0,5.576078799997049,case_009,5,59855,61626,153261,2.560537966752986,92225,1.6618162103551097,greedy_schedule,3,963416
0,0.5549627999935183,case_010,2,45272,45272,86969,1.9210328679978794,45272,1.9210328679978794,component_baseline,2,48384
0,0.4152313999948092,case_010,3,30856,30856,86969,2.8185442053409386,30856,2.8185442053409386,component_baseline,1,48384
0,0.7363751000011689,case_010,4,29856,33908,86969,2.9129488210075025,29856,2.9129488210075025,component_baseline,3,96768
0,1.0068936999959988,case_010,5,26220,28874,86969,3.316895499618612,31015,2.8040947928421733,greedy_schedule,5,722250
0,0.383050500000536,case_011,2,92646,92646,184697,1.9935777043801135,92646,1.9935777043801135,component_baseline,1,180224
0,0.49486109999998007,case_011,3,69625,69625,184697,2.6527396768402154,69625,2.6527396768402154,component_baseline,1,1081344
0,0.42162049999751616,case_011,4,46880,46880,184697,3.9397824232081913,46880,3.9397824232081913,component_baseline,1,540672
0,0.5849534000008134,case_011,5,46880,47287,184697,3.9397824232081913,47287,3.905872649988369,reuse_pack_k4,2,540672
0,1.352068699998199,case_012,2,30094,30094,59088,1.9634478633614674,30094,1.9634478633614674,component_baseline,4,28800
0,1.451738600000681,case_012,3,21894,21894,59088,2.6988215949575225,21894,2.6988215949575225,component_baseline,4,20160
0,1.2199900000050548,case_012,4,17236,17236,59088,3.42817359016013,17236,3.42817359016013,component_baseline,3,39168
0,1.2845860999950673,case_012,5,14300,14300,59088,4.132027972027972,14300,4.132027972027972,component_baseline,3,49536
0,1.4688824000040768,case_013,2,132198,132198,263949,1.9966187083011846,132198,1.9966187083011846,component_baseline,1,8192
0,1.1586461000042618,case_013,3,88351,88351,263949,2.98750438591527,88351,2.98750438591527,component_baseline,1,16384
0,1.0754731000051834,case_013,4,66982,66982,263949,3.9405959810098237,66982,3.9405959810098237,component_baseline,1,24576
0,1.1787999999942258,case_013,5,54363,54363,263949,4.855305998565201,54363,4.855305998565201,component_baseline,1,32768
0,2102.5160294000016,case_014,2,8879623,8891974,17698626,1.9931731335891174,8891974,1.990404605321608,valley_w2,3,75697320
0,1938.7516034,case_014,3,5980632,5985953,17698626,2.9593236968935726,5980632,2.9593236968935726,component_baseline,3,77640360
0,1622.6171808999934,case_014,4,4526660,4526660,17698626,3.9098642266041628,4526660,3.9098642266041628,component_baseline,3,82469784
0,2457.9550545999955,case_014,5,3681987,3694640,17698626,4.806813820907027,3694640,4.790351969339367,greedy_schedule,4,90945720
0,1.070424899997306,case_015,2,92411,92411,177362,1.9192736795403145,92411,1.9192736795403145,component_baseline,3,224536
0,1.2448281000033603,case_015,3,60807,60807,177362,2.916802341835644,60807,2.916802341835644,component_baseline,3,306448
0,1.0894437000024482,case_015,4,53421,53421,177362,3.320080118305535,53421,3.320080118305535,component_baseline,3,263936
0,1.1435100999951828,case_015,5,43437,43437,177362,4.083200957708866,43437,4.083200957708866,component_baseline,3,321536
0,12.120510599997942,case_016,2,7107192,7161192,7715523,1.0855937197137773,7715523,1.0,greedy_schedule,2,47582424
0,11.90147729999444,case_016,3,7231183,7231183,7715523,1.0669793587024419,7715523,1.0,fork_join_w58,2,29493320
0,12.113649600003555,case_016,4,7286633,7286633,7715523,1.058859832792457,7715523,1.0,fork_join_w78,2,23201474
0,12.609443499997724,case_016,5,7357373,7378973,7715523,1.0486790597676643,7715523,1.0,greedy_schedule,2,19269072
0,1.8612973999988753,case_017,2,86400,87680,162810,1.884375,87680,1.8568658759124088,greedy_schedule,4,1611592
0,1.8835226000010152,case_017,3,58579,58579,162810,2.7793236484064257,58579,2.7793236484064257,component_baseline,4,175104
0,1.9233000999956857,case_017,4,42384,42384,162810,3.841308040770102,42384,3.841308040770102,component_baseline,4,259200
0,1.5471423999988474,case_017,5,35496,35496,162810,4.586713995943205,35496,4.586713995943205,component_baseline,3,340992
0,5.6088071999984095,case_018,2,502105,502105,1004367,2.0003126836020355,502105,2.0003126836020355,component_baseline,3,3191808
0,5.5555202000032295,case_018,3,338272,338272,1004367,2.969110656513102,338272,2.969110656513102,component_baseline,3,3867008
0,5.1819338999994216,case_018,4,258133,258133,1004367,3.89088958017766,258133,3.89088958017766,component_baseline,3,4853504
0,5.3352593000017805,case_018,5,203865,203865,1004367,4.926627915532338,203865,4.926627915532338,component_baseline,3,5693440
0,0.506441099998483,case_019,2,43224,43224,81144,1.8772903942254304,43224,1.8772903942254304,component_baseline,2,27168
0,0.6162046000026749,case_019,3,29121,29121,81144,2.7864427732564128,29121,2.7864427732564128,component_baseline,3,24576
0,0.6515278000006219,case_019,4,24099,24099,81144,3.3671106684924688,24099,3.3671106684924688,component_baseline,3,51744
0,0.6006774999987101,case_019,5,24169,30768,81144,3.357358599859324,24169,3.357358599859324,component_baseline,3,73728
